state,county,tract,B08134_022E,B08134_023E,B08134_024E,B08134_025E,B08134_026E,B08134_027E,B08134_028E,B08134_029E,B08134_030E,B08134_032E,B08134_033E,B08134_034E,B08134_035E,B08134_036E,B08134_037E,B08134_038E,B08134_039E,B08134_040E,B08134_062E,B08134_063E,B08134_064E,B08134_065E,B08134_066E,B08134_067E,B08134_068E,B08134_069E,B08134_070E,B08134_102E,B08134_103E,B08134_104E,B08134_105E,B08134_106E,B08134_107E,B08134_108E,B08134_109E,B08134_110E,B08134_112E,B08134_113E,B08134_114E,B08134_115E,B08134_116E,B08134_117E,B08134_118E,B08134_119E,B08134_120E
48,005,001100,247,233,556,347,101,370,58,75,21,5,64,12,119,0,0,0,0,17,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,31,0,29,0,0,0,0,19,0
48,005,001200,98,42,32,19,103,177,22,71,57,19,0,46,31,0,2,27,24,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
48,005,001300,317,133,167,261,139,99,66,81,77,21,50,28,0,0,25,9,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
48,007,950100,402,401,122,142,25,155,124,161,64,65,147,15,20,0,32,22,14,18,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
48,007,950200,87,34,16,38,8,32,4,28,49,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11
48,007,950300,1044,818,148,112,0,165,87,154,58,0,193,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,007,950400,277,107,179,46,23,30,87,57,96,31,25,17,0,0,15,57,0,8,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9
48,007,950500,240,335,303,174,129,144,193,234,112,0,110,0,59,0,94,0,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,29,0,0,27,0,0,0
48,007,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,009,020100,102,196,426,247,77,78,18,8,26,5,19,73,22,8,11,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,7
48,009,020200,150,96,321,316,54,145,30,10,77,7,19,2,4,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
48,009,020300,424,56,87,162,176,214,57,21,34,49,1,2,1,6,18,24,22,16,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
48,011,950100,194,37,11,33,23,131,194,53,54,25,4,19,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
48,013,960100,233,351,394,208,43,272,158,357,189,97,77,22,26,0,107,26,53,20,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,013,960201,238,188,346,64,134,247,446,461,372,33,0,82,60,24,32,49,59,286,0,0,0,0,0,0,0,0,26,19,32,14,0,0,0,0,0,0,22,0,0,0,0,4,0,0,0
48,013,960202,128,127,435,151,42,754,254,705,483,41,25,0,30,0,85,0,13,101,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
