state,county,tract,B14003_005E,B14003_006E,B14003_007E,B14003_008E,B14003_009E,B14003_010E,B14003_011E,B14003_014E,B14003_015E,B14003_016E,B14003_017E,B14003_018E,B14003_019E,B14003_020E,B14003_023E,B14003_024E,B14003_025E,B14003_026E,B14003_027E,B14003_028E,B14003_029E,B14003_033E,B14003_034E,B14003_035E,B14003_036E,B14003_037E,B14003_038E,B14003_039E,B14003_042E,B14003_043E,B14003_044E,B14003_045E,B14003_046E,B14003_047E,B14003_048E,B14003_051E,B14003_052E,B14003_053E,B14003_054E,B14003_055E,B14003_056E,B14003_057E
48,113,006200,384,251,171,111,84,28,12,40,33,0,0,0,0,0,0,0,0,44,119,321,1037,206,202,190,62,124,23,21,61,0,0,0,25,0,0,0,0,0,0,23,454,1224
48,113,006301,221,248,234,96,45,20,13,0,11,0,0,0,0,0,0,0,0,79,191,476,1369,159,167,178,143,60,0,39,0,19,19,0,0,0,0,31,0,0,43,49,294,1373
48,113,006302,179,72,112,38,47,14,0,20,2,9,18,0,0,11,0,0,0,16,258,387,1084,62,85,27,38,39,16,33,16,0,9,1,10,0,0,38,0,0,40,197,214,858
48,113,006401,82,81,120,18,25,10,14,6,0,0,0,0,0,0,0,0,0,27,89,155,607,89,164,86,15,41,13,23,0,0,0,0,0,0,12,0,0,0,0,102,139,507
48,113,006402,296,291,115,31,43,76,0,0,17,0,0,0,0,0,18,0,18,10,164,620,1201,354,238,150,85,61,20,0,0,0,0,0,0,0,19,0,0,0,68,68,545,955
48,113,006501,269,337,75,60,52,76,0,73,0,22,0,0,0,21,0,0,21,28,289,300,1082,303,282,201,97,142,41,47,34,0,0,0,26,0,9,26,0,0,43,50,421,1227
48,113,006502,253,172,82,68,29,0,6,0,3,0,0,0,0,0,0,5,6,11,174,280,940,177,235,76,74,18,41,21,0,17,0,0,5,0,0,0,0,9,20,126,202,919
48,113,006700,344,348,175,89,7,0,36,36,21,0,0,0,28,0,0,0,14,23,174,773,1678,441,343,208,77,108,38,56,0,25,6,7,0,38,0,0,27,0,34,155,441,1397
48,113,006800,75,275,94,26,81,38,0,19,20,37,0,12,0,23,30,0,0,77,177,562,977,200,260,131,29,0,42,9,0,0,0,0,0,0,9,12,0,0,0,239,447,1044
48,113,006900,148,207,73,42,42,0,12,11,0,0,0,0,0,0,21,0,0,0,110,396,723,147,103,44,19,3,0,58,0,13,0,0,30,0,0,12,0,0,6,72,306,579
48,113,007101,28,21,17,0,0,10,0,41,11,8,0,18,6,0,0,5,0,0,43,186,578,65,34,12,6,0,9,10,16,40,10,0,0,19,31,0,5,0,0,0,150,594
48,113,007102,177,207,36,11,64,61,0,0,0,0,0,10,0,0,0,0,43,42,112,542,1345,151,110,16,127,63,20,29,0,0,0,0,12,0,0,22,0,0,18,119,600,1688
48,113,007201,380,588,186,0,90,0,0,0,17,64,51,0,0,0,0,0,25,44,444,1111,1671,384,151,190,48,82,0,55,23,48,0,0,0,0,0,14,0,0,20,314,737,1047
48,113,007202,293,207,138,0,59,48,0,0,0,43,0,0,36,0,0,0,0,58,524,1208,1780,326,412,84,21,64,45,52,0,0,0,0,0,0,0,0,0,0,72,188,709,972
48,113,007301,18,23,18,3,4,0,0,30,33,3,0,3,6,0,10,0,0,0,33,90,654,25,22,0,20,13,13,11,49,9,0,8,3,6,0,0,0,0,0,28,92,555
48,113,007302,32,69,24,0,0,0,7,120,92,8,0,8,0,10,0,0,0,0,47,548,1180,180,76,32,0,0,21,8,73,29,11,0,9,0,8,0,0,0,0,49,425,1176
48,113,007601,3,4,8,0,7,0,0,55,59,16,32,22,0,0,0,3,0,0,12,96,656,2,3,0,15,27,18,0,34,53,26,0,18,0,14,8,0,0,0,12,15,642
