state,county,tract,C18108_003E,C18108_004E,C18108_005E,C18108_007E,C18108_008E,C18108_009E,C18108_011E,C18108_012E,C18108_013E
48,027,021602,6,7,355,105,45,1888,39,45,65
48,027,021700,141,25,1925,351,229,3716,308,208,774
48,027,021800,111,78,2367,342,343,3187,144,99,333
48,027,021901,0,0,711,144,82,2039,71,195,232
48,027,021903,203,91,3178,341,430,4198,64,99,315
48,027,021904,152,82,2441,257,291,4616,125,144,405
48,027,022000,205,32,2032,499,336,4055,149,134,256
48,027,022101,103,0,1137,357,231,2062,91,188,219
48,027,022103,9,17,1576,94,234,2632,40,23,91
48,027,022104,42,0,922,294,183,1847,120,111,152
48,027,022105,4,0,674,73,23,920,12,28,102
48,027,022200,21,0,876,102,71,1529,47,124,68
48,027,022300,69,0,1116,103,161,1969,65,79,202
48,027,022401,29,0,2168,394,177,2728,145,207,222
48,027,022402,0,0,2084,142,88,2623,0,7,85
48,027,022403,69,5,1005,255,199,1872,133,75,110
48,027,022404,56,74,2615,299,656,4416,84,61,142
48,027,022405,0,3,302,55,103,898,4,6,4
48,027,022501,15,0,510,76,90,1641,46,87,257
48,027,022502,131,33,2859,519,202,4897,36,62,310
48,027,022600,18,26,603,191,242,2030,62,41,155
48,027,022801,24,0,668,189,105,1021,0,31,100
48,027,022900,22,0,789,264,223,1855,66,43,351
48,027,023000,0,0,2104,210,216,4185,55,185,397
48,027,023103,48,48,1090,339,179,2154,86,107,306
48,027,023104,26,8,1187,86,157,2134,79,68,180
48,027,023105,89,41,3845,135,614,4726,0,2,117
48,027,023106,229,0,2880,315,136,4607,57,142,26
48,027,023107,38,21,2447,342,169,3761,111,58,35
48,027,023108,170,0,4468,839,263,6638,47,130,190
48,027,023201,5,5,722,9,10,1011,0,0,0
48,027,023202,85,0,2249,122,22,1657,0,0,0
48,027,023203,27,0,1297,68,11,1011,7,0,0
48,027,023204,30,0,821,52,5,760,0,0,0
48,027,023300,93,39,1783,297,128,4186,132,289,631
48,027,023402,39,0,1140,161,127,2295,103,196,295
48,027,023403,29,29,960,153,98,2817,184,178,723
48,027,023404,0,0,648,120,194,1333,65,99,378
48,027,023500,36,0,617,176,133,949,7,9,17
48,027,980001,0,0,0,0,0,0,0,0,0
48,027,980002,0,0,0,0,0,0,0,0,0
48,027,980003,0,0,0,0,0,0,0,0,0
48,029,110100,0,0,141,250,94,1690,129,119,250
48,029,110300,32,0,512,385,108,1408,122,70,244
48,029,110500,44,31,628,46,189,686,17,67,97
48,029,110600,90,11,653,174,242,1205,92,154,227
48,029,110700,0,0,555,78,78,861,51,64,132
48,029,110800,0,0,280,63,29,972,50,25,117
48,029,110900,0,0,126,70,37,568,10,8,15
48,029,111000,0,0,377,172,59,1118,15,93,68
48,029,120100,83,71,1764,101,39,1092,0,17,0
48,029,120300,0,76,1689,138,122,4145,182,178,775
48,029,120400,12,0,1432,113,16,3068,175,248,851
48,029,120501,241,119,1837,458,376,3927,211,367,525
48,029,120502,0,31,1667,189,194,2784,122,189,251
48,029,120600,0,0,1236,257,253,3442,90,150,365
48,029,120701,0,48,963,115,293,2705,228,165,375
48,029,120702,0,0,561,40,105,2667,178,356,665
48,029,120800,48,0,1451,128,270,3295,273,245,737
48,029,120901,0,0,380,23,53,1177,86,158,268
48,029,120902,89,0,1236,212,184,4108,65,163,631
48,029,121000,0,77,1539,298,372,4014,127,222,754
48,029,121108,52,0,972,273,114,4441,291,219,563
48,029,121110,48,20,1238,117,65,3296,75,49,246
48,029,121111,42,0,1387,423,127,3863,125,144,348
48,029,121112,55,0,783,96,67,2425,154,165,327
48,029,121115,102,64,904,182,49,3156,83,190,583
48,029,121116,48,0,1096,94,200,2798,82,104,686
48,029,121117,41,0,807,80,74,2825,93,25,341
48,029,121118,10,14,1211,249,84,3776,145,63,440
48,029,121119,26,0,1124,170,98,3503,72,181,273
48,029,121120,36,0,1585,117,185,3339,67,46,202
48,029,121121,28,25,740,124,70,1906,22,86,226
48,029,121122,43,0,963,178,162,3130,171,141,519
48,029,121203,60,10,926,232,108,2454,92,80,278
48,029,121204,37,0,1360,363,192,4242,79,210,635
48,029,121205,57,13,1357,161,104,2006,59,107,333
48,029,121206,59,60,1927,454,127,4344,209,293,684
48,029,121300,0,18,1016,320,185,2956,254,400,808
48,029,121402,102,22,1843,209,261,3056,37,111,219
48,029,121403,78,0,1338,293,261,2712,186,97,333
48,029,121404,131,0,1029,337,346,2108,138,244,240
48,029,121501,0,0,1970,172,170,4916,62,75,471
48,029,121504,70,8,1757,238,155,4598,142,271,504
48,029,121505,69,47,1083,274,267,2569,91,125,230
48,029,121506,129,19,1145,417,290,2217,137,190,214
48,029,121507,15,13,906,189,138,2247,215,234,478
48,029,121508,117,69,1573,210,297,2188,105,141,258
48,029,121601,83,45,1010,307,266,2589,124,155,242
48,029,121604,188,38,2096,329,317,4099,93,137,541
48,029,121605,0,5,418,107,84,1031,120,94,154
48,029,121606,174,0,740,156,159,2983,144,197,465
48,029,121701,81,0,779,213,182,2017,77,226,388
48,029,121702,24,13,1466,120,300,4158,123,121,621
48,029,121802,11,12,2721,170,184,4887,26,169,354
48,029,121803,6,48,1270,330,126,2479,85,185,283
48,029,121804,118,12,2280,323,128,3902,79,126,283
48,029,121808,0,0,932,70,49,2002,74,51,138
