state,county,tract,B11016_003E,B11016_004E,B11016_005E,B11016_006E,B11016_007E,B11016_008E,B11016_010E,B11016_011E,B11016_012E,B11016_013E,B11016_014E,B11016_015E,B11016_016E
48,027,020201,672,455,423,288,52,21,333,43,0,0,0,0,0
48,027,020202,753,266,384,94,77,0,301,74,0,0,0,0,0
48,027,020300,861,755,624,242,67,6,469,62,0,0,0,0,0
48,027,020401,372,155,137,79,0,12,352,26,0,0,0,0,0
48,027,020402,212,116,48,75,20,36,150,0,0,0,0,0,0
48,027,020500,368,268,177,110,29,27,310,71,0,0,12,0,0
48,027,020600,295,90,119,36,58,37,256,64,0,0,0,0,0
48,027,020701,80,38,5,0,26,6,419,23,0,0,0,0,0
48,027,020702,117,78,73,94,45,6,172,68,0,0,0,0,0
48,027,020800,375,286,164,90,11,10,185,0,11,0,0,0,0
48,027,020900,168,66,57,24,46,16,460,52,0,0,0,0,0
48,027,021000,275,305,135,59,34,15,599,122,19,0,0,0,0
48,027,021100,582,212,255,67,0,62,828,115,0,0,0,0,0
48,027,021201,420,105,197,26,0,0,475,43,0,0,0,0,0
48,027,021202,374,158,160,139,78,10,445,29,0,36,0,0,0
48,027,021203,701,171,138,24,74,0,417,109,14,0,0,0,0
48,027,021301,603,275,166,184,7,0,599,29,0,0,0,0,0
48,027,021302,616,180,76,23,0,7,518,18,24,0,0,0,0
48,027,021303,665,401,373,142,8,0,682,60,69,0,0,0,0
48,027,021400,550,164,290,40,22,14,309,0,3,3,0,0,0
48,027,021500,490,240,248,195,109,100,322,48,11,50,0,0,0
48,027,021601,444,142,292,78,62,41,482,74,45,0,0,0,0
48,027,021602,98,66,61,10,4,20,127,25,3,0,0,0,0
48,027,021700,1211,383,302,261,42,0,811,94,0,0,0,0,0
48,027,021800,598,622,378,175,26,28,566,90,0,0,0,0,0
48,027,021901,495,219,97,45,40,0,352,59,41,0,0,0,0
48,027,021903,840,427,484,477,143,33,378,0,0,0,0,0,0
48,027,021904,814,562,512,224,39,43,568,130,0,0,0,0,0
48,027,022000,774,374,423,286,93,26,608,60,28,0,0,0,0
48,027,022101,376,291,221,108,45,0,584,78,0,0,0,0,0
48,027,022103,425,602,218,151,26,0,208,66,0,0,0,0,0
48,027,022104,499,299,173,33,2,12,480,124,0,0,0,0,0
48,027,022105,230,139,99,47,3,0,101,31,20,0,0,0,0
48,027,022200,286,159,99,88,54,0,569,68,20,0,0,0,0
48,027,022300,395,204,135,56,40,66,601,131,0,0,0,0,0
48,027,022401,567,337,266,344,40,8,390,72,0,0,0,0,0
48,027,022402,331,489,360,200,58,0,359,28,43,0,0,0,0
48,027,022403,415,252,204,101,42,11,301,35,0,0,0,0,0
48,027,022404,635,551,532,250,57,79,310,11,0,0,0,0,0
48,027,022405,190,185,52,10,0,0,253,153,0,0,0,0,0
48,027,022501,279,203,74,90,0,15,388,0,41,0,0,0,0
48,027,022502,854,825,396,219,158,34,737,51,0,0,0,0,0
48,027,022600,378,155,77,106,13,22,475,111,0,0,0,0,0
48,027,022801,297,121,29,53,20,18,473,42,0,0,0,0,0
48,027,022900,421,248,90,129,0,7,545,88,0,7,0,0,0
48,027,023000,743,629,381,169,74,0,728,45,0,0,0,0,0
48,027,023103,514,296,174,127,17,9,384,90,0,0,7,0,0
48,027,023104,285,211,187,117,60,0,325,72,44,0,27,0,0
48,027,023105,575,708,638,474,81,54,246,99,152,10,0,0,0
48,027,023106,806,708,580,211,139,10,498,136,44,0,0,0,0
48,027,023107,459,647,512,103,3,15,434,81,83,42,0,0,0
48,027,023108,1154,822,826,271,220,73,881,110,33,0,0,0,0
48,027,023201,303,317,88,18,5,12,67,19,0,0,0,0,0
48,027,023202,205,169,299,360,62,44,8,0,0,0,0,0,0
48,027,023203,66,239,420,36,5,0,50,0,0,0,0,0,0
48,027,023204,229,206,219,0,0,0,5,13,0,0,0,0,0
48,027,023300,976,484,492,78,17,82,349,127,0,0,0,0,0
48,027,023402,348,253,256,126,19,23,396,8,0,0,0,0,0
48,027,023403,874,385,146,90,59,3,382,64,4,0,0,0,0
48,027,023404,424,154,134,43,3,29,289,35,0,0,0,0,0
48,027,023500,126,115,104,50,22,3,305,22,0,0,0,0,0
48,027,980001,0,0,0,0,0,0,0,0,0,0,0,0,0
48,027,980002,0,0,0,0,0,0,0,0,0,0,0,0,0
48,027,980003,0,0,0,0,0,0,0,0,0,0,0,0,0
48,029,110100,321,80,25,0,0,0,1074,266,0,0,0,0,0
48,029,110300,318,99,96,79,31,0,653,40,0,0,0,0,0
48,029,110500,196,108,140,14,0,0,281,9,0,0,0,0,0
48,029,110600,206,192,41,54,4,58,596,31,0,19,0,0,0
48,029,110700,108,82,43,42,6,36,285,12,0,0,19,0,0
48,029,110800,94,47,23,45,22,8,473,57,0,0,0,0,0
48,029,110900,75,20,0,12,14,3,238,63,0,0,0,0,0
48,029,111000,159,100,86,48,30,6,242,30,0,0,0,0,0
48,029,120100,137,226,290,211,79,4,10,0,0,0,0,0,0
48,029,120300,979,633,367,84,18,0,940,55,19,21,0,0,0
48,029,120400,806,258,347,118,43,15,804,89,0,0,0,0,0
48,029,120501,722,395,316,209,102,38,1163,220,0,0,0,0,0
48,029,120502,299,411,161,205,90,32,556,80,0,0,0,0,0
48,029,120600,719,425,135,134,0,0,1363,135,6,0,0,0,0
48,029,120701,438,360,164,59,59,11,862,137,8,0,0,0,0
48,029,120702,695,191,106,27,0,0,1146,300,12,0,0,0,0
48,029,120800,690,561,346,122,3,0,1019,79,0,0,0,0,0
48,029,120901,217,183,62,17,0,0,366,135,0,0,0,0,0
48,029,120902,701,197,213,175,60,0,1802,103,114,0,0,0,0
48,029,121000,863,485,321,91,30,72,921,67,56,9,0,0,0
48,029,121108,1005,288,265,70,12,0,1382,434,0,0,0,0,0
48,029,121110,385,399,429,63,16,37,319,56,25,0,0,0,0
48,029,121111,501,373,442,118,94,0,770,63,0,0,0,0,0
48,029,121112,535,348,114,24,23,0,724,143,0,0,0,0,0
48,029,121115,978,228,173,109,66,0,631,24,30,0,0,0,0
48,029,121116,557,416,111,84,59,0,861,151,0,18,0,0,0
48,029,121117,670,234,178,99,11,0,530,192,0,0,0,0,0
48,029,121118,848,290,279,86,11,27,658,198,60,0,0,0,0
48,029,121119,532,345,189,118,10,25,779,258,40,0,0,0,0
48,029,121120,463,565,236,152,32,0,562,125,0,0,0,0,0
48,029,121121,360,252,231,42,20,15,149,52,0,0,0,0,0
48,029,121122,851,357,274,79,13,18,308,47,32,13,0,0,0
48,029,121203,412,268,204,92,28,22,478,129,0,0,0,0,0
48,029,121204,921,655,116,32,9,0,1820,279,0,0,0,0,0
48,029,121205,311,253,209,143,38,9,363,42,11,32,0,0,0
48,029,121206,960,236,471,223,135,46,510,80,19,30,0,0,0
48,029,121300,846,476,287,106,20,0,616,46,0,0,0,0,0
48,029,121402,300,268,446,200,86,43,201,93,0,0,11,0,0
48,029,121403,530,380,227,83,76,16,554,109,32,0,0,0,0
48,029,121404,473,189,306,141,0,0,547,108,0,0,0,0,0
48,029,121501,796,551,464,139,157,9,406,109,11,0,0,0,0
48,029,121504,744,524,401,177,0,87,763,93,0,0,0,0,0
48,029,121505,494,211,215,180,47,29,341,45,39,0,0,0,0
48,029,121506,310,356,225,176,31,31,288,88,0,0,0,0,0
48,029,121507,593,316,179,98,24,15,326,69,9,0,9,0,0
48,029,121508,371,185,291,111,104,81,346,33,15,0,0,0,0
48,029,121601,576,371,108,78,70,0,803,166,0,0,0,0,0
48,029,121604,702,493,408,219,75,48,510,224,25,27,0,0,0
48,029,121605,304,95,94,13,37,16,173,11,7,0,0,0,0
48,029,121606,566,248,235,108,0,29,697,217,0,0,0,0,0
48,029,121701,544,252,159,62,43,10,423,66,23,0,0,0,0
48,029,121702,1107,502,111,98,56,137,599,67,0,0,0,0,0
48,029,121802,753,644,278,341,92,37,562,84,40,0,0,0,0
48,029,121803,404,220,256,135,43,44,292,118,42,10,0,0,0
48,029,121804,423,356,442,191,169,22,696,63,0,0,0,0,0
48,029,121808,355,227,232,83,32,0,157,18,5,0,0,0,0
48,029,121809,514,352,317,71,0,55,376,79,0,0,0,0,0
48,029,121810,405,185,384,182,49,33,223,55,0,0,0,0,0
48,029,121811,358,257,357,214,36,0,213,86,6,0,0,0,0
48,029,121812,464,345,555,83,56,35,446,49,14,0,0,0,0
48,029,121813,170,126,52,24,3,14,189,14,8,0,9,0,0
48,029,121903,739,290,376,73,33,17,306,33,0,0,0,0,0
48,029,121904,302,274,244,119,57,0,134,16,0,0,0,0,0
48,029,121905,642,461,291,228,10,0,395,58,0,0,0,0,0
48,029,121906,919,427,253,65,0,0,346,68,0,0,0,0,0
48,029,121907,800,444,788,397,77,93,704,142,28,0,0,0,0
48,029,121908,318,206,96,103,17,0,87,16,0,0,0,0,0
48,029,121909,379,373,290,136,121,7,448,131,0,0,0,0,0
48,029,121910,318,329,378,136,6,13,163,80,0,0,0,0,0
48,029,130200,106,136,46,14,35,93,76,25,5,0,0,0,0
48,029,130300,136,206,74,122,146,11,254,23,0,0,0,0,0
48,029,130401,226,208,83,66,65,93,493,10,0,0,0,0,0
48,029,130402,368,168,163,156,86,40,357,11,0,0,0,0,0
48,029,130500,274,212,106,107,77,102,339,70,24,0,0,0,0
48,029,130600,230,278,244,95,14,111,468,44,0,0,0,0,0
48,029,130700,107,128,8,57,17,55,168,55,7,0,0,0,0
48,029,130800,443,346,248,90,115,95,422,0,0,0,0,0,0
48,029,130900,478,329,151,98,48,42,337,70,0,0,0,0,0
48,029,131000,400,175,156,124,79,83,693,42,0,0,0,0,0
48,029,131100,240,104,87,31,18,103,246,24,0,0,0,0,0
48,029,131200,436,143,54,101,0,0,258,77,0,40,0,0,0
48,029,131300,572,230,194,20,67,164,824,34,16,0,0,0,0
48,029,131401,404,396,405,330,104,25,467,30,12,57,0,0,0
48,029,131402,182,162,146,124,38,0,171,27,9,0,0,0,0
48,029,131503,295,178,107,80,13,102,313,80,20,0,0,0,0
