state,county,tract,B16005B_003E,B16005B_005E,B16005B_006E,B16005B_008E,B16005B_010E,B16005B_011E,B16005C_003E,B16005C_005E,B16005C_006E,B16005C_008E,B16005C_010E,B16005C_011E,B16005D_003E,B16005D_005E,B16005D_006E,B16005D_008E,B16005D_010E,B16005D_011E,B16005E_003E,B16005E_005E,B16005E_006E,B16005E_008E,B16005E_010E,B16005E_011E,B16005F_003E,B16005F_005E,B16005F_006E,B16005F_008E,B16005F_010E,B16005F_011E,B16005G_003E,B16005G_005E,B16005G_006E,B16005G_008E,B16005G_010E,B16005G_011E,B16005H_003E,B16005H_005E,B16005H_006E,B16005H_008E,B16005H_010E,B16005H_011E,B16005I_003E,B16005I_005E,B16005I_006E,B16005I_008E,B16005I_010E,B16005I_011E
48,085,031410,505,12,0,265,34,96,76,0,0,0,0,22,86,148,0,19,222,258,0,0,0,0,0,0,42,0,13,0,12,0,178,18,0,0,0,0,5417,387,0,46,64,30,400,153,59,0,21,214
48,085,031411,331,25,0,12,108,27,115,0,0,0,0,0,170,83,55,0,387,270,0,0,0,0,0,0,10,10,0,71,0,0,187,0,0,34,31,0,2280,76,9,0,126,65,473,70,0,105,0,0
48,085,031504,402,0,0,0,22,0,18,0,4,0,0,3,18,72,0,0,87,110,31,24,0,0,0,18,0,9,0,31,0,0,40,0,0,0,40,16,4811,79,0,0,16,24,384,106,4,31,33,42
48,085,031505,303,0,0,0,0,0,8,0,7,0,0,0,370,255,33,127,478,475,0,0,0,0,0,15,18,0,0,0,0,0,317,34,0,17,60,14,4958,120,23,88,68,10,185,58,0,17,37,35
48,085,031506,967,0,37,0,80,0,10,0,0,0,0,0,17,0,0,0,39,93,0,0,0,0,0,0,67,117,11,0,34,202,170,0,0,0,28,35,3911,96,12,97,0,24,383,617,39,127,158,815
48,085,031507,95,0,0,0,0,0,21,9,0,0,0,0,26,66,0,0,263,329,0,0,0,0,0,0,28,0,0,0,0,0,78,10,0,0,0,0,3056,36,0,38,58,21,239,141,0,0,53,0
48,085,031508,609,47,31,0,47,0,31,0,0,0,0,0,0,59,0,12,157,87,0,0,0,0,0,0,92,14,0,14,0,41,161,93,11,0,0,11,3156,134,18,26,141,125,219,155,55,30,143,209
48,085,031611,437,0,0,25,35,10,0,0,0,0,0,0,36,26,0,0,19,67,0,0,0,0,0,0,0,19,0,0,20,0,11,0,10,0,33,0,1964,23,0,21,66,74,66,146,40,0,223,140
48,085,031612,92,0,0,0,0,0,0,0,0,0,0,0,29,122,0,134,228,257,0,0,0,0,0,0,27,0,0,0,11,0,139,0,0,15,0,0,3888,143,0,125,112,79,149,108,37,15,42,56
48,085,031613,99,0,0,0,0,0,0,0,9,0,0,0,62,29,0,31,96,88,0,0,0,0,0,0,0,16,0,0,19,13,18,17,0,0,0,0,3383,92,0,102,58,0,317,409,13,0,92,65
48,085,031621,281,33,0,19,59,0,39,0,0,0,0,0,60,0,0,90,391,127,0,0,0,0,0,0,12,28,0,0,26,34,13,33,0,0,15,15,3655,203,30,76,39,31,159,99,42,0,42,34
48,085,031622,349,44,0,0,58,0,9,0,0,0,0,0,66,204,50,0,256,311,0,25,0,0,0,0,0,43,0,0,0,41,184,27,0,0,0,0,3243,103,14,49,37,49,120,153,0,0,68,62
48,085,031623,107,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,98,52,0,0,0,0,0,0,0,0,0,0,21,0,19,0,0,16,45,0,1393,87,0,8,30,0,120,112,51,0,63,167
48,085,031624,514,0,0,34,35,0,24,0,0,0,0,0,0,0,0,0,123,165,0,0,0,0,0,0,0,77,0,0,35,107,102,0,60,0,8,48,985,76,18,24,57,75,132,265,132,0,237,637
48,085,031625,124,0,0,0,9,0,27,0,0,0,0,0,6,61,11,39,75,82,0,0,0,0,0,0,0,2,0,0,11,0,10,42,0,0,7,0,3259,89,66,79,74,26,58,55,0,8,66,2
48,085,031626,101,0,14,7,0,0,6,0,0,0,0,0,78,56,39,15,26,137,0,0,0,0,0,0,6,5,0,6,5,0,16,0,4,0,4,0,1619,33,5,21,16,15,65,34,4,9,5,10
48,085,031627,277,0,0,0,0,0,0,0,0,0,0,0,0,57,0,12,65,68,0,0,0,0,0,0,0,0,0,0,7,5,43,0,0,0,0,36,3141,226,54,105,126,35,280,61,24,0,147,144
