state,county,tract,B23001_005E,B23001_007E,B23001_008E,B23001_009E,B23001_012E,B23001_014E,B23001_015E,B23001_016E,B23001_019E,B23001_021E,B23001_022E,B23001_023E,B23001_026E,B23001_028E,B23001_029E,B23001_030E,B23001_033E,B23001_035E,B23001_036E,B23001_037E,B23001_040E,B23001_042E,B23001_043E,B23001_044E,B23001_047E,B23001_049E,B23001_050E,B23001_051E,B23001_054E,B23001_056E,B23001_057E,B23001_058E,B23001_061E,B23001_063E,B23001_064E,B23001_065E,B23001_068E,B23001_070E,B23001_071E,B23001_072E,B23001_075E,B23001_076E,B23001_077E,B23001_080E,B23001_081E,B23001_082E,B23001_085E,B23001_086E,B23001_087E,B23001_091E,B23001_093E,B23001_094E,B23001_095E,B23001_098E,B23001_100E,B23001_101E,B23001_102E,B23001_105E,B23001_107E,B23001_108E,B23001_109E,B23001_112E,B23001_114E,B23001_115E,B23001_116E,B23001_119E,B23001_121E,B23001_122E,B23001_123E,B23001_126E,B23001_128E,B23001_129E,B23001_130E,B23001_133E,B23001_135E,B23001_136E,B23001_137E,B23001_140E,B23001_142E,B23001_143E,B23001_144E,B23001_147E,B23001_149E,B23001_150E,B23001_151E,B23001_154E,B23001_156E,B23001_157E,B23001_158E,B23001_161E,B23001_162E,B23001_163E,B23001_166E,B23001_167E,B23001_168E,B23001_171E,B23001_172E,B23001_173E
48,439,111409,0,48,27,75,0,10,0,9,0,9,10,20,0,71,0,0,0,67,15,0,0,351,0,0,0,435,0,31,0,186,0,8,0,83,27,0,0,54,0,49,97,0,10,0,0,63,0,0,35,0,177,0,114,0,10,13,0,0,37,0,0,0,62,0,7,0,120,10,46,0,293,55,55,0,454,17,107,0,80,0,44,0,44,0,22,0,52,0,9,14,0,78,15,0,82,0,0,65
48,439,111505,0,10,10,26,0,0,0,0,0,68,0,0,0,100,16,0,0,93,15,12,0,151,0,24,0,379,0,26,0,122,0,11,0,21,0,24,0,47,0,17,44,0,10,18,0,88,32,0,77,0,17,0,54,0,33,19,27,0,13,0,12,0,95,0,27,0,77,19,12,0,210,19,46,0,296,63,49,0,51,0,27,0,11,0,0,0,21,0,21,90,9,103,20,9,79,10,0,151
48,439,111506,0,72,4,70,0,4,10,18,0,75,30,21,0,143,0,2,0,259,35,0,0,330,12,25,0,283,15,46,0,127,0,50,0,37,0,16,0,21,0,22,129,0,67,18,12,58,59,0,177,0,49,20,79,0,37,5,39,0,133,54,28,0,201,3,39,0,94,46,55,0,235,0,25,0,311,39,158,0,117,0,49,0,42,4,9,0,14,0,80,56,0,111,5,0,139,12,0,364
48,439,111513,0,21,26,106,0,0,0,32,0,48,57,0,0,182,27,0,0,114,0,12,0,315,0,53,0,370,0,16,0,77,0,44,0,9,0,0,0,15,0,43,17,0,51,0,8,11,0,0,25,0,36,5,123,0,9,0,29,0,21,0,12,0,161,0,15,0,102,24,33,0,314,7,99,0,275,14,9,0,58,0,53,0,8,0,17,0,0,0,9,12,0,26,9,0,31,0,2,30
48,439,111514,0,123,17,130,0,18,19,20,0,95,46,20,0,184,19,1,0,225,0,0,0,431,0,4,0,503,45,0,0,124,36,44,0,29,0,18,0,0,0,0,14,0,55,11,0,33,0,0,69,0,75,36,56,0,34,16,19,0,46,0,0,0,283,52,13,0,261,0,0,0,472,20,16,0,492,0,116,0,82,0,43,0,31,0,46,0,24,0,17,0,0,81,37,0,57,0,0,47
48,439,111516,0,105,19,124,0,52,38,0,0,78,13,0,0,273,23,0,0,145,27,16,0,416,26,0,0,428,0,71,0,207,0,52,0,15,0,0,0,78,0,0,0,0,55,0,0,28,60,0,16,0,94,0,143,0,52,0,0,0,88,47,41,0,106,12,34,0,99,0,88,0,506,56,33,0,441,31,19,0,67,0,75,0,43,0,33,0,19,0,0,34,15,46,25,0,86,0,0,82
48,439,111521,0,139,119,262,0,87,0,0,0,84,32,47,0,392,49,24,0,211,0,0,0,376,83,0,0,417,60,58,0,100,35,13,0,6,0,57,0,54,11,18,58,0,0,24,17,85,0,0,0,0,58,67,129,0,120,0,0,0,108,0,44,0,222,72,125,0,227,0,58,0,394,0,209,0,396,16,185,0,65,15,65,0,37,0,17,0,22,0,42,67,0,103,28,0,105,0,0,65
48,439,111522,0,81,93,148,0,125,0,12,0,142,64,0,0,307,0,0,0,176,12,50,0,508,16,13,0,375,18,77,0,61,0,0,0,108,0,55,0,17,0,146,37,0,211,18,0,52,0,0,50,0,58,93,270,0,106,0,0,0,48,28,59,0,116,0,124,0,135,0,100,0,306,17,205,0,418,21,134,0,64,0,173,0,45,0,0,0,15,0,126,56,0,150,17,0,116,0,0,75
48,439,111523,0,0,60,265,0,0,0,126,0,155,32,0,0,511,0,21,0,365,0,87,14,431,9,53,0,238,18,13,0,54,13,54,0,3,0,17,0,69,19,134,41,0,16,23,0,26,0,0,93,0,129,19,137,0,164,0,32,0,173,0,33,0,231,130,36,0,277,62,127,0,514,20,149,0,288,0,195,0,71,0,12,0,42,0,44,0,68,0,39,24,0,61,0,0,50,18,0,101
48,439,111524,0,77,0,220,0,94,0,10,0,53,0,66,0,287,35,29,0,147,33,0,0,811,15,24,0,211,23,0,0,129,34,26,0,9,0,29,0,102,0,13,53,0,84,0,0,92,0,0,13,0,52,21,53,0,51,0,63,0,170,30,108,0,156,0,41,0,133,9,17,0,333,29,60,0,291,0,171,0,175,16,42,0,31,34,65,0,69,0,29,48,0,123,31,0,22,11,0,83
