state,county,tract,B08006_020E,B08006_021E,B08006_025E,B08006_031E,B08006_032E,B08006_033E,B08006_034E,B08006_037E,B08006_038E,B08006_042E,B08006_048E,B08006_049E,B08006_050E,B08006_051E
48,025,950202,920,123,0,0,16,8,91,582,147,0,0,43,13,58
48,025,950300,894,122,0,24,0,0,6,872,195,0,35,32,0,0
48,025,950400,263,62,0,0,29,9,19,327,81,0,0,41,8,0
48,025,950500,967,245,0,0,55,60,0,1214,127,0,0,0,34,0
48,025,950600,356,130,0,0,3,4,12,375,6,0,0,15,0,31
48,027,020100,1568,178,0,0,12,58,15,1238,78,0,0,7,35,0
48,027,020201,1583,80,0,0,0,48,68,1081,95,0,0,0,27,127
48,027,020202,1287,94,0,0,0,0,15,896,24,0,0,0,0,32
48,027,020300,2137,91,18,0,0,0,101,1725,248,0,0,0,18,91
48,027,020401,580,76,0,0,0,0,63,458,47,0,0,0,0,42
48,027,020402,401,35,0,0,11,0,26,304,33,3,0,6,0,41
48,027,020500,847,29,11,0,0,23,0,584,55,0,0,0,0,53
48,027,020600,556,133,0,0,35,6,29,478,40,0,0,0,0,54
48,027,020701,89,48,0,29,8,0,12,59,20,0,16,2,0,5
48,027,020702,377,116,0,11,0,0,7,100,43,11,0,13,8,25
48,027,020800,506,45,8,0,0,37,18,584,9,0,0,49,0,0
48,027,020900,361,31,5,0,42,0,0,245,20,5,0,59,0,9
48,027,021000,920,212,0,0,41,11,8,519,102,0,14,14,0,6
48,027,021100,999,123,0,30,47,0,29,1276,77,0,0,0,0,37
48,027,021201,628,49,0,0,18,14,0,600,35,0,0,0,0,20
48,027,021202,944,86,0,0,0,0,0,823,102,0,0,9,0,13
48,027,021203,917,56,0,0,7,0,13,728,53,0,0,0,0,18
48,027,021301,999,48,0,0,0,0,12,1043,95,0,0,14,0,38
48,027,021302,535,144,0,0,57,13,14,814,80,0,0,0,0,34
48,027,021303,1276,183,0,0,23,16,47,1351,108,13,0,10,0,54
48,027,021400,887,43,0,0,16,4,32,636,78,0,0,5,7,26
48,027,021500,1304,276,0,0,9,0,81,1116,185,0,0,11,0,27
48,027,021601,1085,258,0,0,8,12,23,746,147,0,0,24,14,27
48,027,021602,319,23,4,9,49,3,24,286,39,0,0,140,0,19
48,027,021700,1648,144,0,0,15,17,63,1439,130,0,0,0,0,50
48,027,021800,992,192,0,0,48,28,13,1135,133,0,0,10,21,79
48,027,021901,664,56,0,0,0,13,10,645,53,0,0,23,36,5
48,027,021903,1920,161,0,0,0,63,0,1563,66,0,0,0,0,135
48,027,021904,2010,167,16,0,0,78,131,1372,118,7,0,0,56,16
48,027,022000,1564,468,0,0,20,0,0,1197,293,0,21,18,0,67
48,027,022101,807,80,0,0,44,0,0,624,121,0,0,0,0,21
48,027,022103,1080,181,0,0,0,17,27,971,53,11,0,0,0,25
48,027,022104,613,130,0,0,0,49,0,584,129,0,0,7,0,0
48,027,022105,225,136,0,0,0,12,0,318,159,0,0,0,0,0
48,027,022200,590,77,0,0,32,22,0,699,70,0,0,7,13,7
48,027,022300,1099,82,0,9,61,21,9,536,42,0,0,8,0,0
48,027,022401,1147,150,0,0,0,36,39,1174,193,0,0,0,0,26
48,027,022402,1228,57,0,30,51,23,33,1269,93,0,0,0,0,17
48,027,022403,844,89,6,0,0,29,20,815,62,0,0,0,0,0
48,027,022404,1824,83,0,0,62,39,13,1420,291,0,0,0,181,40
48,027,022405,664,15,0,0,0,4,0,359,61,0,0,0,0,0
48,027,022501,574,61,0,0,0,97,8,590,65,0,0,0,0,4
48,027,022502,1936,199,0,24,167,60,0,1831,154,0,0,25,0,20
48,027,022600,622,178,0,0,11,10,6,474,78,9,0,0,6,47
48,027,022801,460,100,0,0,16,0,40,310,42,15,0,0,0,9
48,027,022900,735,189,12,0,47,7,12,467,82,22,0,0,53,0
48,027,023000,1655,151,3,32,20,22,0,1510,186,0,0,15,0,13
48,027,023103,845,227,0,0,15,25,16,627,155,0,0,72,0,47
48,027,023104,917,83,0,0,42,44,0,694,51,0,0,16,0,72
48,027,023105,2671,221,23,0,11,38,36,1733,236,27,0,0,17,136
48,027,023106,2720,239,0,0,0,22,71,1651,263,0,0,0,0,147
48,027,023107,1313,150,28,0,121,34,0,1383,281,6,0,0,15,0
48,027,023108,2897,277,0,0,0,109,0,2657,174,54,0,0,0,0
48,027,023201,550,46,0,13,0,23,5,304,35,0,0,5,0,24
48,027,023202,1508,475,0,55,640,30,97,478,122,0,0,88,9,0
48,027,023203,702,21,0,0,0,0,0,245,24,0,0,4,0,0
48,027,023204,1319,768,0,0,878,18,185,354,59,0,0,65,12,0
48,027,023300,1739,198,12,0,0,60,58,1353,162,41,0,13,0,78
48,027,023402,773,109,0,0,36,21,52,788,66,0,0,20,0,83
48,027,023403,1271,155,0,0,0,12,120,866,130,0,0,9,0,63
48,027,023404,514,95,0,0,8,24,130,431,46,0,0,19,3,63
48,027,023500,268,124,0,0,0,2,0,225,85,5,0,44,17,9
48,027,980001,61,111,0,0,73,0,19,23,4,0,0,54,0,0
48,027,980002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,027,980003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,029,110100,635,79,169,54,77,40,38,351,54,28,14,135,0,9
48,029,110300,264,85,16,6,92,7,0,538,76,0,0,0,10,9
48,029,110500,57,6,32,0,9,0,0,158,33,43,0,9,7,15
48,029,110600,276,111,85,0,0,0,6,202,10,48,0,22,0,0
48,029,110700,230,12,59,16,28,0,0,216,10,11,0,16,0,8
48,029,110800,299,9,28,39,23,5,14,300,21,17,0,32,9,6
48,029,110900,227,20,12,19,5,8,15,144,11,21,10,29,0,4
48,029,111000,383,68,34,7,19,5,15,189,74,17,0,5,28,22
48,029,120100,684,79,45,8,661,81,681,323,34,21,0,733,31,327
48,029,120300,1672,135,0,0,98,10,124,1077,99,21,0,10,20,128
48,029,120400,1199,45,0,0,0,0,103,969,92,0,0,11,100,154
48,029,120501,1578,148,28,41,84,0,0,1296,153,177,0,0,36,106
48,029,120502,793,228,29,21,33,0,0,802,164,34,31,0,19,21
48,029,120600,1360,40,24,41,40,8,39,1135,147,20,0,5,0,121
48,029,120701,780,119,50,0,6,0,41,1042,136,46,0,0,0,86
48,029,120702,1141,15,143,0,18,15,52,745,64,11,0,0,0,73
48,029,120800,1451,102,79,0,0,63,63,1527,73,30,0,0,38,60
48,029,120901,345,57,28,0,0,14,76,361,73,23,0,10,12,0
48,029,120902,1734,226,142,0,0,0,33,1344,153,15,0,0,42,70
48,029,121000,1808,127,73,0,0,0,13,1310,144,39,0,65,0,94
48,029,121108,1583,119,24,0,74,19,114,1894,92,0,0,71,0,49
48,029,121110,1306,61,0,0,18,0,14,1171,119,0,0,0,0,20
48,029,121111,1461,244,0,0,20,86,0,1694,63,100,0,0,94,30
48,029,121112,940,97,25,0,61,54,11,786,65,31,0,10,0,21
48,029,121115,1374,89,0,0,0,35,71,1116,83,0,0,12,45,51
48,029,121116,963,34,13,0,0,0,131,1221,89,0,0,14,0,82
48,029,121117,1431,29,0,0,13,0,12,1007,133,11,0,0,0,8
48,029,121118,1989,29,13,0,15,19,158,1268,102,74,0,0,0,53
48,029,121119,1604,84,21,0,0,0,58,1320,24,1,0,0,0,0
48,029,121120,1476,62,0,0,0,25,65,1018,47,26,0,0,0,70
48,029,121121,717,107,12,0,34,0,72,664,55,0,0,0,0,0
