state,county,tract,Citizen,Naturalized Citizen,Not a U.S. Citizen,English,Speaks Spanish,Speaks Other Language
48,027,023104,3401,121,128,3146,356,148
48,027,023105,9165,213,418,8589,600,607
48,027,023106,8244,325,492,6694,1742,625
48,027,023107,6180,210,256,5529,720,397
48,027,023108,10884,595,443,8557,2737,628
48,027,023201,1789,56,40,1659,139,87
48,027,023202,5811,60,206,5025,791,261
48,027,023203,2151,121,24,1895,363,38
48,027,023204,4398,106,93,3918,476,203
48,027,023300,6659,491,291,6328,624,489
48,027,023402,3803,47,149,3434,551,14
48,027,023403,4665,86,188,4448,419,72
48,027,023404,2661,69,57,2439,321,27
48,027,023500,1349,131,268,996,658,94
48,027,980001,345,2,1,307,22,19
48,027,980002,0,0,0,0,0,0
48,027,980003,0,0,0,0,0,0
48,029,110100,2644,196,478,1611,1621,86
48,029,110300,2110,216,408,842,1798,94
48,029,110500,1326,93,85,381,1077,46
48,029,110600,4752,320,963,2019,3964,52
48,029,110700,1279,166,192,496,1129,12
48,029,110800,1509,121,35,739,896,30
48,029,110900,746,29,50,537,256,32
48,029,111000,1533,84,237,741,1082,31
48,029,120100,5782,221,201,5090,735,379
48,029,120300,6517,298,77,6014,725,153
48,029,120400,5319,164,239,4834,799,89
48,029,120501,6750,270,550,5029,2266,275
48,029,120502,3922,268,868,2623,2184,251
48,029,120600,4972,293,251,4259,1018,239
48,029,120701,3987,246,785,2830,2090,98
48,029,120702,4224,140,229,3851,472,270
48,029,120800,5924,217,78,5332,797,90
48,029,120901,1692,28,278,1433,500,65
48,029,120902,5253,327,794,3921,2220,233
48,029,121000,6376,161,389,5185,1563,178
48,029,121108,6304,173,212,5252,1130,307
48,029,121110,4174,283,186,3586,790,267
48,029,121111,5587,118,351,3879,2039,138
48,029,121112,3499,103,137,2951,659,129
48,029,121115,4578,319,117,4269,607,138
48,029,121116,4321,81,311,3734,786,193
48,029,121117,3712,116,184,3199,652,161
48,029,121118,5305,115,127,4625,868,54
48,029,121119,4630,360,122,3988,730,394
48,029,121120,4726,212,0,3861,898,179
48,029,121121,2783,162,71,2504,410,102
48,029,121122,4620,240,136,3778,1033,185
48,029,121203,3499,220,216,2385,1501,49
48,029,121204,6146,233,310,4933,1523,233
48,029,121205,3157,183,264,2257,1268,79
48,029,121206,6911,452,520,4951,2701,231
48,029,121300,5475,268,170,4911,909,93
48,029,121402,4251,548,610,2921,2235,253
48,029,121403,4127,257,543,3130,1436,361
48,029,121404,3444,259,522,2529,1573,123
48,029,121501,6859,378,309,5700,1631,215
48,029,121504,6389,451,376,5359,1528,329
48,029,121505,4285,217,60,3722,739,101
48,029,121506,3917,102,441,2896,1541,23
48,029,121507,3720,278,200,3243,901,54
48,029,121508,3874,298,329,2999,1253,249
48,029,121601,3890,333,290,3101,1201,211
48,029,121604,7019,176,132,6081,1076,170
48,029,121605,1768,55,48,1369,465,37
48,029,121606,4398,247,258,3617,1061,225
48,029,121701,3325,260,205,2842,790,158
48,029,121702,5919,295,545,5638,1015,106
48,029,121802,6590,661,509,5061,2267,432
48,029,121803,3640,280,480,2752,1443,205
48,029,121804,6078,235,142,4308,1927,220
48,029,121808,2981,263,80,2227,878,219
48,029,121809,4048,268,256,3322,1144,106
48,029,121810,4157,148,156,3504,768,189
48,029,121811,3873,328,91,3296,809,187
48,029,121812,5493,349,33,4479,1303,93
48,029,121813,1323,74,93,1081,359,50
48,029,121903,4561,152,176,4021,648,220
48,029,121904,2761,454,50,2613,263,389
48,029,121905,4726,424,122,4070,813,389
48,029,121906,4725,204,260,4009,1037,143
48,029,121907,8315,706,797,6831,2216,771
48,029,121908,2201,91,39,2010,283,38
48,029,121909,4088,780,198,3520,1179,367
48,029,121910,3595,350,145,3228,691,171
48,029,130200,1239,90,570,696,1196,7
48,029,130300,2320,44,710,1167,1907,0
48,029,130401,2951,171,439,1169,2363,29
48,029,130402,3110,160,566,1921,1915,0
48,029,130500,3309,175,459,2284,1638,21
48,029,130600,3726,57,314,2557,1540,0
48,029,130700,1501,111,272,715,1142,27
48,029,130800,4350,141,603,3648,1425,21
48,029,130900,3369,202,323,2481,1235,178
48,029,131000,4423,125,207,3529,1193,33
48,029,131100,2288,80,134,1572,930,0
48,029,131200,2315,50,222,1821,635,131
48,029,131300,5015,454,378,3167,2507,173
48,029,131401,5738,586,446,4431,2113,226
48,029,131402,2163,44,321,1727,801,0
48,029,131503,3358,46,60,2572,739,153
48,029,131504,2449,318,441,1875,1132,201
48,029,131505,2667,264,614,1913,1512,120
48,029,131506,2630,137,129,1813,1077,6
48,029,131507,4942,317,924,3535,2577,71
48,029,131601,2321,113,163,1830,680,87
48,029,131606,4122,321,223,3541,934,191
48,029,131608,4614,256,278,3831,1114,203
48,029,131609,7369,446,329,6275,1605,264
48,029,131610,4801,247,163,3999,949,263
48,029,131611,1179,85,21,1062,169,54
48,029,131612,1417,155,149,1199,459,63
48,029,131613,3973,312,153,3154,1166,118
48,029,131614,3308,161,284,2824,759,170
48,029,131615,5914,496,329,4625,1683,431
48,029,131700,964,40,40,910,56,78
48,029,131801,2205,37,89,2015,305,11
48,029,131802,4743,183,145,3756,1201,114
48,029,140100,1216,41,320,690,887,0
48,029,140200,2106,175,288,1035,1527,7
48,029,140300,2514,109,603,1057,2157,12
48,029,140400,2731,184,484,1533,1865,1
48,029,140500,3076,247,327,1503,2126,21
48,029,140600,2088,167,109,1048,1298,18
48,029,140700,3982,132,300,1910,2441,63
48,029,140800,4430,236,506,1997,3098,77
48,029,140900,1518,47,195,771,969,20
48,029,141000,2804,71,314,1279,1904,6
48,029,141101,3386,125,505,2111,1863,42
48,029,141102,2983,133,54,2183,961,26
48,029,141200,4981,213,728,3370,2521,31
48,029,141300,5077,158,229,3517,1912,35
48,029,141402,3096,313,296,1853,1829,23
48,029,141403,3349,222,409,1729,2102,149
48,029,141404,4109,116,425,2351,2205,94
48,029,141600,3957,223,314,2115,2339,40
48,029,141700,4284,45,260,2803,1741,45
48,029,141800,4123,101,155,2946,1409,24
48,029,141900,5444,186,186,4606,1135,75
48,029,150100,3592,299,1184,1473,3595,7
48,029,150300,3645,210,624,1530,2929,20
48,029,150400,2901,146,364,1020,2381,10
48,029,150501,3535,314,843,982,3710,0
48,029,150502,3082,207,545,1051,2783,0
48,029,150600,3305,164,705,1218,2935,21
48,029,150700,4547,391,757,2032,3663,0
48,029,150800,2832,98,67,1724,1238,35
48,029,150900,4638,244,653,1610,3925,0
48,029,151000,2409,84,475,1015,1944,9
48,029,151100,5833,443,534,2450,4345,15
48,029,151200,7660,525,1435,3438,6180,2
48,029,151301,3922,267,1150,1526,3813,0
48,029,151302,2682,160,352,1473,1721,0
48,029,151400,3459,250,813,1728,2777,17
48,029,151500,2199,48,196,1078,1361,4
48,029,151600,5864,252,596,3118,3519,75
48,029,151700,5350,429,730,1997,4512,0
48,029,151900,5034,259,339,2137,3435,60
48,029,152000,1955,15,115,1260,808,17
48,029,152100,4048,114,327,2339,2082,68
48,029,152201,6910,248,516,3652,3997,25
48,029,152202,3630,100,493,2004,2211,8
48,029,160100,4653,191,1246,1358,4731,1
48,029,160200,1935,128,157,616,1539,65
48,029,160300,4392,240,439,1879,3129,63
48,029,160400,3482,143,522,1395,2752,0
48,029,160501,3342,76,236,1512,2045,97
48,029,160502,3334,149,500,1438,2544,1
48,029,160600,3983,208,477,895,3773,0
