state,county,tract,B11001B_003E,B11001B_005E,B11001B_006E,B11001B_008E,B11001B_009E,B11001C_003E,B11001C_005E,B11001C_006E,B11001C_008E,B11001C_009E,B11001D_003E,B11001D_005E,B11001D_006E,B11001D_008E,B11001D_009E,B11001E_003E,B11001E_005E,B11001E_006E,B11001E_008E,B11001E_009E,B11001F_003E,B11001F_005E,B11001F_006E,B11001F_008E,B11001F_009E,B11001G_003E,B11001G_005E,B11001G_006E,B11001G_008E,B11001G_009E,B11001H_003E,B11001H_005E,B11001H_006E,B11001H_008E,B11001H_009E,B11001I_003E,B11001I_005E,B11001I_006E,B11001I_008E,B11001I_009E
48,005,001002,20,28,52,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,0,18,0,0,20,0,0,0,0,808,114,102,98,16,231,19,106,0,0
48,005,001100,59,0,26,77,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1107,84,211,467,59,54,6,0,0,0
48,005,001200,0,0,9,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,702,77,97,250,2,14,0,0,11,0
48,005,001300,0,0,9,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,21,0,0,4,0,892,192,162,506,52,44,0,5,0,0
48,007,950100,0,6,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,11,0,29,0,0,39,3,3,14,0,1331,22,69,571,149,84,0,37,84,22
48,007,950200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,295,0,21,201,54,28,0,0,3,0
48,007,950300,31,0,0,6,0,0,0,24,0,0,83,0,0,0,0,0,0,0,0,0,44,0,0,0,0,33,6,0,0,0,1246,15,116,483,118,197,105,111,0,0
48,007,950400,4,0,0,15,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,30,0,0,0,0,9,0,31,52,8,349,48,82,272,67,191,24,112,107,12
48,007,950500,9,0,0,21,0,0,0,13,15,0,15,0,0,0,0,0,0,0,0,0,22,0,0,11,0,17,11,0,16,0,851,64,191,560,85,514,46,50,95,0
48,007,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,009,020100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,769,39,2,135,15,19,0,3,0,0
48,009,020200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,678,35,52,184,49,48,6,0,0,0
48,009,020300,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,681,31,68,338,46,54,8,31,17,0
48,011,950100,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,440,6,47,120,33,11,0,5,0,0
48,013,960100,28,0,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,30,39,0,13,19,12,0,0,808,54,76,230,26,482,45,254,330,45
