state,county,tract,Married Couple,Male Householder family no wife present,Female Householder family no husband present,Alone,Non-family
48,201,553403,1592,22,277,202,39
48,201,553500,1394,42,250,386,199
48,201,553600,1515,98,177,561,102
48,201,553700,960,40,219,179,35
48,201,553801,659,0,7,65,71
48,201,553802,1473,218,370,681,65
48,201,553900,1759,234,144,337,53
48,201,554001,783,48,152,398,66
48,201,554002,1156,65,46,139,17
48,201,554101,304,32,22,55,0
48,201,554102,2250,146,281,411,215
48,201,554200,1374,175,293,677,260
48,201,554301,1787,161,178,368,48
48,201,554302,913,60,245,224,123
48,201,554401,3580,99,402,459,158
48,201,554402,2988,121,334,472,110
48,201,554403,1999,31,391,324,122
48,201,554501,1487,55,190,155,9
48,201,554502,1644,74,128,190,0
48,201,554600,1249,35,72,161,83
48,201,554700,1785,105,235,505,96
48,201,554801,2881,304,469,667,347
48,201,554802,3509,244,191,851,236
48,201,554901,1730,143,232,227,106
48,201,554902,1761,18,150,245,186
48,201,554903,2701,129,176,495,30
48,201,555000,1442,93,330,409,86
48,201,555100,1518,141,393,831,141
48,201,555200,1320,102,363,590,90
48,201,555301,231,0,0,35,0
48,201,555302,3352,21,337,512,68
48,201,555303,981,135,297,162,114
48,201,555401,572,7,132,195,22
48,201,555402,1139,38,436,1242,259
48,201,555501,738,150,175,263,51
48,201,555502,4240,298,454,858,302
48,201,555600,1357,23,108,213,0
48,201,555701,1746,204,151,104,42
48,201,555702,2607,33,136,432,13
48,201,556000,1293,110,383,284,86
48,201,980000,0,0,0,8,0
48,201,980100,72,23,138,0,42
48,203,020102,1040,66,274,519,112
48,203,020103,867,187,179,337,27
48,203,020104,907,42,196,274,41
48,203,020200,1484,108,245,555,100
48,203,020301,846,14,268,617,30
48,203,020302,453,110,330,280,25
48,203,020401,546,101,206,457,36
48,203,020402,656,74,320,549,81
48,203,020501,368,31,295,378,56
48,203,020502,1022,0,256,404,60
48,203,020603,1305,100,185,226,81
48,203,020604,834,33,229,283,23
48,203,020605,1160,53,155,502,146
48,203,020606,1175,127,195,260,43
48,205,950200,1241,28,76,405,67
48,207,950300,707,112,106,403,51
48,207,950400,515,17,85,276,25
48,209,010100,228,24,102,523,383
48,209,010200,100,6,8,147,169
48,209,010302,489,157,261,512,268
48,209,010303,493,113,362,714,974
48,209,010304,358,124,414,1000,743
48,209,010400,1137,298,424,1227,515
48,209,010500,399,136,230,760,233
48,209,010600,2030,184,434,983,242
48,209,010701,504,132,276,1114,1453
48,209,010702,413,0,60,213,486
48,209,010803,980,25,229,625,35
48,209,010804,2308,86,189,866,190
48,209,010805,1795,41,108,241,42
48,209,010806,930,31,44,310,38
48,209,010807,409,85,90,97,40
48,209,010808,1460,65,133,363,73
48,209,010809,1294,73,44,248,22
48,209,010901,2059,68,155,374,144
48,209,010902,2371,116,417,850,234
48,209,010905,1149,154,151,359,56
48,209,010906,2226,261,436,498,229
48,209,010907,1714,196,431,485,159
48,209,010908,1670,270,252,495,300
48,209,010909,1090,152,177,403,86
48,209,010910,1616,69,336,221,156
48,211,950300,890,76,115,300,29
48,213,950100,1498,61,265,562,196
48,213,950200,1084,69,143,380,28
48,213,950300,1855,94,146,663,42
48,213,950400,994,59,136,314,22
48,213,950500,499,48,92,214,34
48,213,950601,554,97,107,587,113
48,213,950602,968,97,279,605,139
48,213,950700,979,88,157,371,108
48,213,950800,1087,48,144,672,147
48,213,950901,1034,161,233,506,109
48,213,950902,415,34,151,225,9
48,213,950903,552,0,46,205,115
48,213,951000,331,48,176,241,6
48,213,951100,783,52,177,423,49
48,213,951200,971,34,371,498,74
48,213,951300,923,115,315,819,49
48,213,951400,1557,98,343,585,142
48,215,020101,847,110,499,212,54
48,215,020102,1577,219,272,397,103
48,215,020201,1339,76,290,198,13
48,215,020202,1196,92,389,164,16
48,215,020204,1490,96,505,229,16
48,215,020205,941,114,326,306,0
48,215,020301,2162,113,498,422,0
48,215,020302,1784,22,301,728,109
48,215,020402,1783,96,258,109,64
48,215,020403,681,17,351,426,53
48,215,020404,1153,73,234,479,82
48,215,020501,676,112,310,482,49
48,215,020503,1857,199,624,394,29
48,215,020504,1231,15,362,368,76
48,215,020600,257,61,211,194,0
48,215,020701,1788,59,477,347,136
48,215,020721,1125,130,574,300,81
48,215,020723,621,84,579,353,60
48,215,020724,773,127,103,240,9
48,215,020725,653,74,385,183,37
48,215,020726,993,49,420,409,85
48,215,020802,1127,134,509,542,80
48,215,020803,1165,64,229,172,56
48,215,020804,530,52,214,595,104
48,215,020901,1054,89,194,524,64
48,215,020903,791,166,312,500,178
48,215,020904,892,57,261,550,95
48,215,021000,843,45,595,386,29
48,215,021100,317,83,168,458,74
48,215,021201,459,28,149,329,64
48,215,021202,1052,129,182,458,82
48,215,021302,2245,148,1073,229,7
48,215,021303,1094,152,639,216,0
48,215,021304,832,83,361,85,37
48,215,021305,893,149,427,53,42
48,215,021401,763,84,456,420,131
48,215,021403,1011,30,276,225,8
48,215,021404,1717,187,307,509,9
48,215,021500,439,50,335,192,18
48,215,021600,458,132,292,194,20
48,215,021701,1211,39,786,586,281
48,215,021702,1859,202,752,294,37
48,215,021803,865,80,191,54,24
48,215,021804,393,39,496,234,30
48,215,021805,1323,71,655,329,46
48,215,021806,1438,95,335,120,67
48,215,021901,1857,100,286,278,48
48,215,021903,544,140,230,363,11
48,215,021904,802,66,274,311,34
48,215,022001,1897,162,580,447,29
48,215,022003,1126,0,450,564,33
48,215,022004,1618,154,477,248,76
48,215,022103,1003,53,366,262,38
48,215,022104,1536,93,511,133,65
48,215,022105,499,44,297,299,14
48,215,022106,812,89,253,346,64
48,215,022201,1104,138,158,48,15
48,215,022203,523,83,320,204,36
48,215,022204,785,85,206,173,5
48,215,022300,1706,134,608,739,81
48,215,022401,684,61,318,276,20
48,215,022402,950,128,270,123,8
48,215,022501,761,99,424,227,14
48,215,022502,760,87,549,257,30
48,215,022600,303,58,178,180,26
48,215,022701,1107,65,314,599,19
48,215,022702,909,72,296,384,98
48,215,022800,1411,150,417,357,0
48,215,022900,730,70,318,355,18
48,215,023000,672,100,312,504,10
48,215,023102,943,190,440,229,29
48,215,023103,848,24,487,128,31
48,215,023104,574,78,509,144,0
48,215,023503,1302,156,333,294,50
48,215,023504,1523,119,604,342,179
48,215,023507,1488,119,430,193,44
48,215,023509,2123,104,464,270,70
48,215,023510,1727,204,289,637,118
48,215,023511,1391,72,396,193,16
48,215,023512,50,0,8,13,11
48,215,023513,1137,90,491,185,15
48,215,023514,1353,86,335,167,31
48,215,023515,1700,98,631,121,37
48,215,023600,1528,52,388,480,50
48,215,023700,502,109,468,361,27
48,215,023801,1426,85,549,187,45
48,215,023802,1582,131,569,356,16
48,215,023902,2269,154,647,239,205
48,215,023903,641,29,298,451,22
48,215,023904,1535,218,377,690,222
48,215,024000,2427,453,538,1126,609
48,215,024105,1392,262,745,310,75
48,215,024106,1988,182,573,285,61
48,215,024107,690,30,278,108,48
48,215,024108,1036,48,260,120,20
48,215,024109,951,115,331,102,33
48,215,024110,1560,84,578,185,0
48,215,024111,701,9,393,111,11
48,215,024112,1979,180,753,92,14
48,215,024113,1031,89,293,140,0
48,215,024114,1334,109,428,233,0
48,215,024201,2507,154,756,315,36
48,215,024203,1658,0,287,274,24
48,215,024204,719,17,285,116,26
48,215,024205,1308,15,423,363,0
48,215,024301,253,17,30,106,5
48,215,024302,152,0,54,122,0
48,215,024402,1459,15,636,129,19
48,215,024403,584,77,593,420,70
48,215,024404,731,41,102,87,0
48,215,024500,1135,83,753,262,94
48,215,024600,895,102,437,250,34
48,215,980000,0,0,0,0,0
48,217,960100,786,113,140,396,59
48,217,960200,1101,64,106,347,77
48,217,960400,414,76,71,184,37
48,217,960500,1290,53,244,535,195
48,217,960600,195,32,33,149,24
48,217,960700,468,44,55,210,26
48,217,960800,551,68,261,476,40
48,217,960900,273,18,195,171,24
48,217,961000,195,69,116,211,0
48,217,961100,871,36,77,294,38
48,217,961400,883,46,220,391,60
48,219,950100,324,10,66,108,27
48,219,950200,1066,54,135,236,32
48,219,950300,842,52,255,458,25
48,219,950400,750,157,370,357,120
48,219,950500,933,133,145,343,100
48,219,950600,351,22,52,73,8
48,219,950700,308,31,46,125,8
48,221,160100,698,99,201,614,86
48,221,160204,623,68,30,433,18
48,221,160205,1563,40,243,696,69
48,221,160206,803,1,128,885,44
48,221,160207,1381,37,293,907,90
48,221,160208,988,71,310,398,259
48,221,160209,1947,37,230,545,110
48,221,160210,1831,33,42,353,66
48,221,160301,1204,73,134,674,167
48,221,160302,881,72,192,359,78
48,223,950100,768,64,87,193,48
48,223,950200,1107,75,123,420,36
48,223,950300,1408,101,208,252,6
48,223,950401,799,47,306,265,53
48,223,950402,615,66,205,459,78
48,223,950500,532,39,172,287,35
48,223,950600,911,61,203,342,59
48,223,950700,947,90,196,403,92
48,223,950800,683,32,119,187,64
48,225,950100,1188,100,139,459,50
48,225,950200,297,17,58,151,4
48,225,950300,311,3,206,374,42
48,225,950400,404,28,318,486,32
48,225,950500,873,53,126,594,47
48,225,950600,261,26,94,246,6
48,225,950700,388,91,148,287,4
48,227,950100,520,41,75,327,5
48,227,950200,464,46,69,196,25
48,227,950300,160,44,90,249,15
48,227,950400,420,47,234,689,104
48,227,950500,356,66,315,357,72
48,227,950600,820,66,264,276,72
48,227,950700,610,60,128,336,53
48,227,950801,711,65,165,414,174
48,227,950802,268,33,98,163,14
48,227,950900,1000,23,83,300,10
48,229,950300,525,67,150,269,11
48,231,960100,490,89,28,240,138
48,231,960200,543,35,130,215,54
48,231,960300,802,45,145,352,46
48,231,960400,1042,76,223,339,9
48,231,960500,492,0,396,474,110
48,231,960600,298,112,77,461,65
48,231,960700,1156,26,280,437,71
48,231,960800,374,76,286,222,57
48,231,960900,577,96,316,883,95
48,231,961000,594,60,234,432,115
48,231,961100,1739,73,190,330,22
48,231,961200,1038,48,78,836,69
48,231,961300,1049,82,204,857,236
48,231,961400,1728,117,218,445,80
48,231,961501,675,29,33,191,49
48,231,961502,1080,77,109,245,63
48,231,961503,917,65,204,238,48
48,231,961600,970,117,300,798,124
48,231,961700,559,87,73,245,49
48,233,950200,455,30,90,309,13
48,233,950500,1023,98,231,642,24
48,233,950600,607,65,251,482,31
48,233,950700,231,46,112,242,64
48,233,950800,103,9,23,169,19
48,233,950900,772,166,192,512,33
48,233,951000,745,86,198,286,31
48,235,950100,397,14,64,140,10
48,237,950100,434,7,19,150,61
48,237,950300,538,78,160,298,48
48,237,950500,747,13,38,309,59
48,239,950100,1191,49,147,581,60
48,239,950200,688,72,197,436,89
48,239,950300,974,83,206,397,46
48,241,950100,1310,104,221,638,31
48,241,950200,385,23,187,410,33
48,241,950300,303,72,312,353,47
48,241,950400,1027,19,167,396,0
48,241,950500,933,0,173,483,20
48,241,950600,296,5,155,388,17
48,241,950700,1822,105,163,776,172
48,241,950800,532,36,141,256,0
48,243,950100,617,25,61,331,17
48,245,000101,862,32,490,695,89
48,245,000102,391,30,114,123,24
48,245,000103,285,74,480,255,42
48,245,000200,690,190,346,465,203
48,245,000302,1827,16,106,795,63
48,245,000304,1180,180,469,667,48
48,245,000306,765,57,284,444,150
48,245,000307,333,139,196,781,128
48,245,000308,697,24,392,1317,392
48,245,000309,459,24,200,554,42
48,245,000310,1049,190,113,870,82
48,245,000400,644,175,237,708,68
48,245,000500,360,31,114,352,13
48,245,000600,615,136,599,694,68
48,245,000700,314,90,384,480,32
48,245,000900,85,45,311,214,40
48,245,001100,330,15,221,329,25
48,245,001200,469,84,139,287,67
48,245,001301,521,91,510,727,89
48,245,001302,446,70,368,274,8
48,245,001303,595,98,200,190,72
48,245,001700,176,37,214,184,33
48,245,001900,437,90,191,195,50
48,245,002000,282,98,225,192,14
48,245,002100,302,76,353,508,90
48,245,002200,251,52,487,400,34
48,245,002300,435,25,316,678,0
48,245,002400,321,94,229,366,56
48,245,002500,394,145,393,346,102
48,245,002600,315,131,455,697,217
48,245,005100,65,20,137,164,34
48,245,005400,133,28,134,172,32
48,245,005500,425,127,166,360,64
48,245,005600,459,91,212,208,65
48,245,005900,118,8,293,266,0
48,245,006100,93,14,124,226,63
48,245,006300,139,38,141,224,24
48,245,006400,261,35,69,233,57
48,245,006500,405,83,190,604,51
48,245,006600,552,37,331,477,15
48,245,006700,467,77,146,296,12
48,245,006800,334,46,41,147,36
48,245,006900,383,92,233,427,99
48,245,007001,507,32,812,1218,147
48,245,007002,694,71,323,569,48
48,245,007100,654,64,236,458,33
48,245,010100,379,0,194,242,61
48,245,010200,347,53,132,93,20
48,245,010300,459,52,113,333,19
48,245,010400,630,24,132,384,9
48,245,010500,727,44,166,586,91
48,245,010600,929,101,419,682,77
48,245,010700,749,42,124,342,26
48,245,010800,964,68,254,491,27
48,245,010901,628,24,161,385,98
48,245,010902,1284,61,53,316,19
48,245,011001,992,92,319,409,156
48,245,011002,782,8,188,485,98
48,245,011101,1105,50,224,609,22
48,245,011102,474,74,155,400,20
48,245,011201,1470,205,347,519,56
48,245,011202,0,0,0,0,0
48,245,011203,0,0,0,0,0
48,245,011302,0,0,0,0,0
48,245,011303,634,27,65,286,35
48,245,011304,735,44,126,386,50
48,245,011400,1946,225,224,618,68
48,245,011500,555,83,77,126,30
48,245,011600,418,23,36,124,37
48,245,011700,113,47,121,340,5
48,245,011800,159,40,184,250,12
48,245,980000,23,0,0,24,0
48,245,990000,0,0,0,0,0
48,247,950200,526,32,100,189,12
48,247,950400,383,22,214,277,18
48,249,950100,1603,247,493,564,29
48,249,950200,1410,160,397,440,73
48,249,950300,1269,62,271,581,100
48,249,950400,587,23,233,226,68
48,249,950500,829,30,631,518,60
48,249,950600,654,75,340,290,10
48,249,950700,551,147,218,273,26
48,251,130100,927,72,153,181,67
48,251,130204,2288,286,460,606,103
48,251,130205,811,49,175,624,124
48,251,130207,1677,121,87,574,82
48,251,130208,1056,168,408,467,60
48,251,130210,1053,66,190,372,15
48,251,130211,1385,98,178,433,67
48,251,130212,950,187,132,241,57
48,251,130213,778,223,142,250,0
48,251,130214,1024,74,200,297,106
48,251,130215,1092,0,56,136,98
48,251,130302,591,130,339,678,224
48,251,130303,685,76,248,223,77
48,251,130304,1017,58,191,375,60
48,251,130405,1516,120,145,212,17
48,251,130406,1590,90,83,395,58
48,251,130407,1776,123,387,260,74
48,251,130408,1343,154,201,381,51
48,251,130409,1345,130,214,598,0
48,251,130410,1447,169,188,318,212
48,251,130500,1570,113,226,435,86
48,251,130601,1547,70,239,395,71
48,251,130602,478,72,58,110,7
48,251,130700,800,117,182,315,121
48,251,130800,561,46,314,291,79
48,251,130900,478,94,215,107,64
48,251,131000,1216,52,112,376,62
48,251,131100,1028,150,221,614,68
48,253,020101,321,10,53,146,39
48,253,020102,0,0,0,0,0
48,253,020200,413,28,78,274,18
48,253,020300,471,45,121,251,89
48,253,020400,588,49,252,556,15
48,253,020500,1218,11,74,483,38
48,255,970100,538,34,49,252,7
48,255,970200,565,96,214,378,10
48,255,970300,816,142,314,453,28
48,255,970400,220,44,53,233,14
48,257,050201,1421,87,178,432,91
48,257,050203,1925,75,351,386,16
48,257,050204,984,128,231,106,52
48,257,050205,1281,88,203,167,123
48,257,050206,2335,244,385,321,33
48,257,050300,551,50,320,326,60
48,257,050400,1360,107,290,400,78
48,257,050500,408,136,529,697,141
48,257,050600,1410,125,180,436,106
48,257,050701,1066,85,107,279,62
48,257,050703,545,33,161,105,47
48,257,050704,1112,84,303,337,92
48,257,050800,2199,58,352,494,109
48,257,051000,218,9,83,121,60
48,257,051100,632,122,453,432,35
48,257,051201,545,93,48,187,75
48,257,051202,1131,123,160,262,71
48,257,051300,1799,161,444,696,234
48,259,970100,1397,122,222,497,89
48,259,970301,929,94,222,688,100
48,259,970302,1129,74,142,331,10
48,259,970401,2067,46,82,225,17
48,259,970402,1938,43,123,246,106
48,259,970500,908,180,283,722,87
48,261,950100,78,0,25,28,0
48,261,990000,0,0,0,0,0
48,263,950100,182,9,33,144,6
48,265,960100,1192,48,276,698,14
48,265,960200,749,55,184,566,43
48,265,960301,968,58,147,341,78
48,265,960302,1488,109,206,996,178
48,265,960401,379,16,137,240,35
48,265,960402,1210,44,122,863,68
48,265,960500,696,130,356,996,95
48,265,960600,1161,66,587,653,272
48,265,960700,1564,23,110,609,0
48,265,960800,821,72,177,394,63
48,267,950100,667,60,39,241,74
48,267,950200,366,43,190,342,42
48,269,950100,73,4,5,35,10
48,271,950100,682,32,84,322,37
48,273,020100,1029,80,209,223,71
48,273,020200,654,193,478,460,121
48,273,020300,785,89,401,505,520
48,273,020400,1104,190,450,814,131
48,273,020500,1262,172,283,570,265
48,273,990000,0,0,0,0,0
48,275,950100,362,21,101,241,15
48,275,950200,364,6,121,273,24
48,277,000101,1314,24,192,139,41
48,277,000102,1074,70,169,399,29
48,277,000200,808,40,88,275,50
48,277,000300,1312,64,168,551,83
48,277,000401,651,31,323,532,29
48,277,000402,1532,178,181,369,33
48,277,000500,327,69,386,662,49
48,277,000600,276,76,137,351,35
48,277,000700,538,79,254,361,7
48,277,000800,330,47,374,483,133
48,277,000900,893,95,177,531,162
48,277,001000,520,159,247,427,31
48,279,950100,442,76,75,252,46
48,279,950200,362,31,22,105,13
48,279,950300,485,37,91,210,7
48,279,950500,598,34,189,197,66
48,279,950600,667,53,235,448,43
48,281,950100,596,66,109,222,49
48,281,950301,1653,154,244,225,115
48,281,950302,783,13,91,209,11
48,281,950400,563,138,151,401,112
48,281,950500,858,47,120,426,53
48,283,950300,919,92,265,555,29
48,285,000100,1081,113,45,394,15
48,285,000200,657,37,246,403,41
48,285,000300,645,53,86,236,15
48,285,000400,734,48,130,477,41
48,285,000500,834,45,77,272,16
48,285,000600,492,136,115,227,40
48,287,000100,1203,103,109,392,104
48,287,000200,600,85,97,286,51
48,287,000300,628,62,48,323,92
48,287,000400,998,96,215,455,20
48,289,950100,1181,108,450,529,128
48,289,950200,1020,157,100,409,85
48,289,950300,1066,199,199,481,58
48,291,700100,723,142,233,264,164
48,291,700200,210,27,258,430,96
48,291,700300,1833,278,437,624,47
48,291,700400,1370,121,368,442,106
48,291,700500,495,28,119,150,58
48,291,700600,567,79,155,248,69
48,291,700700,588,43,137,189,22
48,291,700800,1974,220,325,733,57
48,291,700900,375,55,91,155,34
48,291,701000,1236,81,290,241,76
48,291,701100,1330,88,220,529,50
48,291,701200,942,45,312,704,104
48,291,701300,660,67,69,368,52
48,291,701400,1506,84,298,487,110
48,293,970100,431,33,77,191,8
48,293,970200,773,54,173,537,12
48,293,970300,300,0,242,136,42
48,293,970400,259,10,33,178,21
48,293,970500,374,48,77,191,6
48,293,970600,1005,49,168,589,69
48,293,970700,485,17,102,169,0
48,293,970800,837,13,176,266,32
48,295,950200,383,30,55,201,24
48,295,950300,268,32,27,139,14
48,297,950100,575,82,203,307,52
48,297,950200,366,30,99,106,0
48,297,950300,601,63,64,211,25
48,297,950400,528,10,32,314,70
48,299,970100,632,10,51,432,28
48,299,970200,698,41,96,697,38
48,299,970300,448,26,38,239,38
48,299,970400,1282,64,0,548,16
48,299,970500,1182,37,388,711,82
48,299,970600,342,26,83,339,39
48,301,950100,13,0,2,13,5
48,303,000100,394,46,214,226,21
48,303,000201,216,42,140,147,46
48,303,000202,192,132,135,231,94
48,303,000301,326,56,156,577,514
48,303,000302,890,201,533,610,316
48,303,000402,801,134,276,476,183
48,303,000403,766,115,210,333,103
48,303,000404,1243,143,280,962,386
48,303,000405,1659,253,526,643,884
48,303,000500,87,0,6,501,85
48,303,000603,102,12,43,844,559
48,303,000605,30,4,0,42,177
48,303,000607,92,134,120,568,194
48,303,000700,144,7,97,86,55
48,303,000900,348,164,541,392,82
48,303,001000,284,100,345,293,0
48,303,001200,193,91,377,241,23
48,303,001300,335,84,285,400,30
48,303,001400,490,23,393,793,466
48,303,001501,411,53,31,323,127
48,303,001502,186,63,89,296,213
48,303,001601,381,55,151,524,34
48,303,001602,379,71,121,319,387
48,303,001702,964,59,145,1065,124
48,303,001705,1321,57,233,1036,235
48,303,001706,672,240,370,820,286
48,303,001707,942,71,213,530,76
48,303,001708,228,14,231,968,190
48,303,001709,574,188,379,477,169
48,303,001801,613,208,448,595,300
48,303,001803,1062,114,259,920,113
48,303,001804,754,68,160,743,144
48,303,001901,876,41,345,385,175
48,303,001903,1106,63,286,695,118
48,303,001904,343,0,92,186,0
48,303,002001,351,25,142,289,74
48,303,002002,326,56,263,327,154
48,303,002101,999,66,328,803,232
48,303,002102,714,42,95,358,68
48,303,002202,857,45,348,460,188
48,303,002203,571,63,97,355,58
48,303,002204,708,139,352,471,103
48,303,002300,557,211,328,252,168
48,303,002400,824,153,704,399,42
48,303,002500,295,61,291,183,55
48,303,010101,414,6,36,72,14
48,303,010102,465,64,143,172,4
48,303,010200,1307,166,305,361,190
48,303,010301,783,38,127,115,35
48,303,010302,573,31,124,137,50
48,303,010402,258,82,165,181,33
48,303,010403,1293,54,258,670,108
48,303,010404,530,75,127,129,56
48,303,010405,823,37,147,561,201
48,303,010406,939,100,151,375,51
48,303,010407,1930,33,155,450,268
48,303,010408,2207,84,123,553,151
48,303,010502,849,11,101,444,19
48,303,010504,1083,17,80,499,7
48,303,010505,861,56,281,463,112
48,303,010506,831,70,216,556,134
48,303,010508,1514,175,286,514,91
48,303,010509,798,21,48,194,33
48,303,010510,602,31,100,195,6
48,303,010511,820,69,289,257,77
48,303,010600,1037,30,593,743,101
48,303,010700,1014,45,88,354,34
48,303,980000,0,0,0,0,0
48,305,950400,381,40,112,135,20
48,305,950500,490,15,198,283,24
48,305,950600,245,18,81,90,26
48,307,950300,941,74,196,622,66
48,307,950400,398,0,41,156,8
48,307,950500,314,19,36,172,12
48,309,000100,185,24,39,256,221
48,309,000200,149,0,47,548,623
48,309,000300,0,0,0,12,0
48,309,000400,329,109,278,915,687
48,309,000598,781,86,284,293,82
48,309,000700,433,51,246,301,136
48,309,000800,395,102,175,194,48
48,309,000900,793,134,235,398,44
48,309,001000,333,106,218,232,42
48,309,001100,697,139,453,335,138
48,309,001200,289,44,397,243,9
48,309,001300,285,69,151,107,51
48,309,001400,612,303,1049,972,111
48,309,001500,256,66,242,316,77
48,309,001600,845,33,408,832,60
48,309,001700,793,114,309,421,170
48,309,001800,306,39,37,160,19
48,309,001900,166,17,432,506,432
48,309,002000,901,24,155,177,48
48,309,002100,486,102,619,496,112
48,309,002302,569,122,523,1126,129
48,309,002498,848,85,172,646,53
48,309,002501,801,120,324,758,85
48,309,002503,1282,51,156,599,108
48,309,002504,885,43,208,151,15
48,309,002600,1335,107,175,769,54
48,309,002700,516,129,235,413,64
48,309,002800,698,18,193,823,176
48,309,002900,999,15,104,329,29
48,309,003000,524,109,174,887,103
48,309,003200,690,97,417,423,116
48,309,003300,145,49,94,151,76
48,309,003400,1271,23,377,436,185
48,309,003500,956,19,148,261,41
48,309,003601,502,50,194,287,19
48,309,003602,452,41,125,261,37
48,309,003701,698,42,122,236,75
48,309,003703,1268,62,183,184,78
48,309,003706,2336,118,337,590,172
48,309,003707,1596,122,496,1319,212
48,309,003708,1891,45,213,364,112
48,309,003801,1652,77,262,252,76
48,309,003802,1153,92,308,413,150
48,309,003900,1789,12,343,655,108
48,309,004000,1311,54,110,298,55
48,309,004102,1195,183,133,315,104
48,309,004103,1550,175,322,495,159
48,309,004201,708,93,289,439,45
48,309,004202,812,29,98,238,66
48,309,004300,1035,154,384,773,84
48,309,980000,0,0,0,0,0
48,311,950100,122,26,22,75,6
48,313,000100,250,18,63,95,14
48,313,000200,380,35,41,185,24
48,313,000300,534,47,126,169,44
48,313,000400,848,77,295,534,60
48,315,950100,593,15,30,371,8
48,315,950200,692,9,145,384,47
48,315,950300,581,40,136,335,108
48,315,950400,376,26,159,341,43
48,317,950100,284,24,62,62,14
48,317,950200,625,84,133,245,30
48,319,950100,368,58,68,349,40
48,319,950200,600,12,48,124,11
48,321,730100,415,44,159,240,9
48,321,730201,1208,123,452,725,40
48,321,730202,284,4,23,165,8
48,321,730301,811,44,195,389,83
48,321,730302,586,136,350,506,42
48,321,730303,216,0,32,45,0
48,321,730400,380,27,127,302,20
48,321,730501,509,127,149,402,33
48,321,730600,946,102,377,584,67
48,321,730700,975,90,188,359,45
48,321,990000,0,0,0,0,0
48,323,950201,1039,58,392,315,45
48,323,950204,627,19,336,179,22
48,323,950205,1661,30,286,364,35
48,323,950300,1507,90,431,350,0
48,323,950400,631,79,220,387,0
48,323,950500,880,126,547,330,11
48,323,950601,373,51,203,250,0
48,323,950602,829,45,392,295,9
48,323,950700,1667,93,413,405,69
48,325,000101,1396,41,375,390,18
48,325,000102,1828,179,227,516,132
48,325,000200,437,44,46,109,10
48,325,000300,1159,141,421,312,103
48,325,000401,988,172,188,301,24
48,325,000402,1068,32,43,224,77
48,325,000500,959,32,280,461,103
48,325,000800,1188,104,520,482,91
48,327,950300,478,11,102,279,16
48,329,000100,859,140,443,251,104
48,329,000200,841,60,223,650,173
48,329,000302,1095,190,188,525,104
48,329,000303,1047,31,87,356,39
48,329,000304,799,18,176,533,170
48,329,000305,1134,42,182,476,152
48,329,000401,530,131,101,393,53
48,329,000402,786,132,201,648,197
48,329,000500,805,111,462,557,115
48,329,000600,779,50,240,384,99
48,329,001100,788,83,313,400,182
48,329,001200,1331,111,342,237,58
48,329,001300,1060,125,332,288,128
48,329,001400,599,98,336,217,48
48,329,001500,481,262,303,219,12
48,329,001700,490,87,449,294,132
48,329,010104,1710,176,302,862,85
48,329,010105,455,82,237,304,94
48,329,010106,959,11,399,826,147
48,329,010107,1063,130,125,721,139
48,329,010108,852,53,87,541,32
48,329,010109,1372,145,242,569,183
48,329,010112,2660,236,294,542,143
48,329,010113,2647,127,162,567,30
48,329,010114,1417,99,180,825,137
48,329,010200,389,40,305,206,33
48,329,980000,0,0,0,0,0
48,331,950100,486,21,93,295,54
48,331,950300,870,86,81,390,20
48,331,950401,609,13,107,408,14
48,331,950402,500,18,214,446,33
48,331,950500,629,54,109,271,16
48,331,950700,847,161,446,716,92
48,331,950800,649,48,106,347,30
48,333,950100,410,46,23,174,4
48,333,950200,678,47,79,334,3
48,335,950200,1121,69,206,445,56
48,335,950400,407,24,73,262,27
48,337,950100,668,40,86,311,26
48,337,950200,448,29,58,182,36
48,337,950300,415,61,216,408,136
48,337,950400,1280,30,141,448,22
48,337,950500,1047,150,260,720,60
48,337,950600,467,23,61,244,17
48,339,690100,2094,204,345,604,179
48,339,690201,2188,102,506,517,65
48,339,690202,1444,129,151,453,46
48,339,690300,915,30,285,291,61
48,339,690401,1417,49,187,246,48
48,339,690402,3600,393,348,667,68
48,339,690500,2357,79,20,267,70
48,339,690601,5172,384,303,1378,133
48,339,690602,4854,103,348,868,84
48,339,690700,2512,202,172,1366,353
48,339,690800,1073,17,19,368,23
48,339,690900,1287,8,50,104,9
48,339,691000,1289,64,38,169,0
48,339,691100,1062,30,172,306,0
48,339,691200,1772,198,192,742,71
48,339,691301,1151,61,142,188,26
48,339,691302,735,99,557,1089,106
48,339,691400,1694,164,538,1103,312
48,339,691500,734,62,358,569,102
48,339,691601,982,40,104,613,49
48,339,691602,871,149,83,708,341
48,339,691700,357,31,18,532,66
48,339,691800,1575,177,282,679,239
48,339,691900,1230,67,243,383,111
48,339,692001,6535,407,1088,1182,450
48,339,692002,1854,30,274,302,75
48,339,692100,2427,186,484,631,214
48,339,692200,1392,289,395,720,127
48,339,692300,3138,286,326,1351,328
48,339,692400,1372,118,488,1624,469
48,339,692500,1220,177,582,699,139
48,339,692601,688,84,184,171,80
48,339,692602,1766,338,463,808,142
48,339,692700,1380,130,209,598,91
48,339,692801,1680,80,245,573,154
48,339,692802,707,161,187,227,64
48,339,692900,783,62,211,339,34
48,339,693000,1905,262,317,464,58
48,339,693101,613,143,544,313,159
