state,county,tract,B16008_006E,B16008_007E,B16008_009E,B16008_010E,B16008_014E,B16008_015E,B16008_017E,B16008_018E,B16008_022E,B16008_024E,B16008_025E,B16008_027E,B16008_028E,B16008_030E,B16008_032E,B16008_033E,B16008_035E,B16008_036E,B16008_039E,B16008_041E,B16008_042E,B16008_044E,B16008_045E,B16008_047E,B16008_049E,B16008_050E,B16008_052E,B16008_053E
48,439,113509,139,86,0,30,411,88,83,14,0,0,0,0,0,27,53,145,56,93,0,0,0,8,9,0,69,181,9,25
48,439,113510,77,0,81,9,109,17,23,0,0,0,0,0,0,6,0,0,145,198,0,49,0,47,7,0,66,96,245,337
48,439,113511,55,78,97,0,58,77,65,18,0,10,0,37,0,88,0,75,180,127,0,5,0,23,12,55,5,150,35,100
48,439,113512,91,35,83,0,152,30,101,71,0,0,0,0,0,43,3,19,32,77,0,0,0,0,0,14,0,63,14,29
48,439,113513,22,87,64,0,238,108,252,0,0,0,0,0,0,31,36,0,240,240,0,0,0,55,0,65,19,63,259,372
48,439,113514,198,105,86,0,169,128,201,29,0,0,0,0,0,18,0,90,91,106,0,9,0,24,25,100,74,538,36,120
48,439,113516,354,0,23,12,181,52,9,10,0,0,0,0,0,17,55,57,64,33,0,0,0,23,24,39,0,210,174,120
48,439,113517,13,47,54,0,75,47,97,58,0,0,0,0,0,26,34,14,112,84,0,0,0,0,0,30,43,175,133,39
48,439,113518,20,0,18,0,256,12,79,101,0,0,0,225,0,50,9,0,102,119,0,0,0,0,0,0,86,60,232,152
48,439,113519,42,0,107,40,171,31,93,0,0,0,0,0,0,132,78,18,146,57,0,0,0,50,38,18,19,0,150,69
48,439,113520,89,0,10,0,165,82,72,0,49,0,0,0,0,44,35,78,105,297,50,63,0,0,0,32,0,60,77,91
48,439,113607,81,9,0,0,264,32,106,0,0,0,0,0,0,18,25,85,23,9,0,0,0,0,0,44,20,49,0,0
48,439,113610,152,0,341,0,223,0,211,14,7,0,0,0,0,118,52,0,472,25,0,0,0,0,0,89,15,0,58,34
48,439,113611,20,0,66,13,73,0,78,9,0,0,0,0,0,32,0,15,92,94,12,0,0,0,43,28,10,4,13,69
48,439,113612,75,11,31,0,93,0,42,0,0,16,0,0,0,54,0,0,82,41,0,0,0,0,0,9,15,0,11,20
48,439,113613,0,31,0,0,73,44,21,0,0,0,0,0,0,31,0,0,32,0,0,0,0,0,0,20,0,3,0,0
48,439,113618,76,40,75,0,162,18,16,0,0,0,0,0,0,82,20,0,101,23,0,25,0,0,0,0,0,65,34,33
48,439,113619,201,122,0,0,239,28,0,0,0,0,0,10,0,71,26,51,67,37,18,18,93,11,12,146,0,274,38,154
48,439,113622,57,0,23,0,146,24,172,0,30,18,0,0,0,123,27,0,163,47,0,0,0,0,0,13,0,0,62,41
48,439,113623,79,3,0,0,91,30,12,0,0,0,0,0,0,37,84,0,11,15,0,0,0,0,0,35,0,54,0,0
48,439,113624,46,59,21,0,80,0,67,11,12,0,0,0,0,25,94,81,58,21,0,0,0,0,8,0,6,157,64,21
48,439,113625,0,8,0,0,17,0,0,0,0,0,0,0,0,56,0,0,58,27,0,0,0,16,0,0,0,0,41,6
48,439,113626,25,0,15,0,101,19,76,0,0,0,0,0,0,21,3,8,10,47,0,50,0,0,0,16,40,34,26,61
48,439,113627,95,0,98,19,183,59,85,0,0,0,0,0,0,0,92,13,154,48,0,0,0,0,0,0,50,167,16,77
48,439,113628,15,35,74,12,223,0,0,0,0,0,0,25,0,56,0,0,93,17,0,0,0,29,0,0,41,58,134,261
48,439,113629,0,0,0,17,163,0,20,0,0,0,0,0,0,41,43,12,49,15,52,0,0,55,0,0,0,10,106,19
48,439,113630,15,0,19,64,288,32,0,20,0,0,0,0,0,66,8,14,48,16,0,0,0,0,0,15,0,0,21,0
48,439,113631,390,325,102,0,320,80,189,0,0,0,0,0,0,15,111,49,81,36,0,94,148,0,0,130,50,747,96,175
48,439,113632,34,0,0,0,57,0,43,0,20,0,0,0,0,106,0,1,123,0,0,0,0,0,0,13,14,1,0,0
48,439,113633,56,0,93,20,166,34,10,10,0,0,0,0,0,100,26,0,98,26,0,0,0,0,0,33,0,0,42,25
48,439,113634,28,20,48,8,93,11,88,0,0,0,0,0,0,140,54,13,87,41,0,0,0,0,0,18,0,11,87,0
48,439,113703,255,130,83,0,85,181,93,0,30,0,0,0,0,168,0,49,55,37,0,160,0,0,0,160,113,626,140,0
48,439,113705,118,111,92,0,350,22,0,0,0,0,0,0,0,51,0,62,45,0,0,41,0,0,0,52,172,824,0,0
48,439,113707,26,10,79,0,124,9,21,0,0,0,0,0,0,104,38,0,58,52,0,0,0,40,0,46,0,0,76,32
48,439,113709,72,8,46,17,145,32,113,9,23,0,0,0,0,38,20,36,122,26,17,21,0,0,0,72,28,17,58,20
48,439,113710,0,23,15,0,198,41,71,0,0,0,0,0,0,30,12,0,0,13,0,67,0,32,0,135,35,140,13,17
48,439,113711,0,0,0,9,73,20,20,0,0,0,0,0,0,86,0,0,21,54,0,0,0,0,0,34,0,0,18,0
48,439,113803,21,9,11,12,235,61,50,0,0,0,0,0,0,23,12,7,42,52,0,0,0,0,0,14,0,26,23,25
48,439,113808,88,119,0,23,99,49,15,0,26,0,0,0,0,31,0,0,41,231,0,67,12,15,0,42,85,262,0,28
48,439,113809,208,63,77,0,231,0,0,0,0,0,0,0,0,31,68,0,37,101,0,0,0,0,0,15,61,223,8,0
48,439,113810,31,19,10,0,177,22,7,0,0,0,0,0,0,20,60,91,0,37,0,0,0,11,0,10,11,39,30,25
48,439,113811,29,24,12,0,197,33,38,0,0,0,0,0,0,53,12,27,37,23,0,0,0,0,0,0,0,51,16,49
48,439,113812,128,0,79,0,82,18,131,0,0,0,5,0,0,26,26,28,121,100,0,0,0,0,0,36,0,31,32,0
48,439,113813,32,0,79,0,78,0,26,0,0,0,0,0,0,51,34,9,91,21,0,0,0,38,0,44,0,7,40,42
48,439,113814,0,7,28,13,18,15,11,0,0,0,0,0,0,19,0,0,63,8,0,8,0,0,0,33,19,16,0,0
48,439,113815,11,0,7,0,25,0,99,0,32,0,0,0,0,77,15,0,118,10,0,0,0,0,10,44,0,9,44,11
48,439,113816,75,0,0,0,180,0,41,15,36,0,0,0,0,30,11,9,93,43,0,0,0,0,0,30,0,160,0,0
48,439,113906,60,0,56,0,108,20,31,10,52,0,0,0,0,134,35,22,175,20,46,52,12,0,0,56,21,35,58,0
