state,county,tract,C15010B_002E,C15010B_003E,C15010B_004E,C15010B_005E,C15010B_006E,C15010C_002E,C15010C_003E,C15010C_004E,C15010C_005E,C15010C_006E,C15010D_002E,C15010D_003E,C15010D_004E,C15010D_005E,C15010D_006E,C15010E_002E,C15010E_003E,C15010E_004E,C15010E_005E,C15010E_006E,C15010F_002E,C15010F_003E,C15010F_004E,C15010F_005E,C15010F_006E,C15010G_002E,C15010G_003E,C15010G_004E,C15010G_005E,C15010G_006E,C15010H_002E,C15010H_003E,C15010H_004E,C15010H_005E,C15010H_006E,C15010I_002E,C15010I_003E,C15010I_004E,C15010I_005E,C15010I_006E
48,015,760400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,34,181,37,74,0,0,0,0,0
48,015,760501,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,153,61,199,238,128,23,0,5,40,27
48,015,760502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,92,214,136,0,0,21,0,0
48,017,950100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,13,136,0,46,107,43,39,0,0,45,13
48,019,000101,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,242,38,146,189,85,0,4,41,25,0
48,019,000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,341,68,126,91,24,30,0,70,0,10
48,019,000200,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,100,73,77,75,15,0,0,24,36
48,019,000300,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,442,0,110,114,68,63,39,34,0,21
48,019,000400,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,48,29,59,14,5,7,17,9,14
48,021,950100,0,0,0,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,42,167,201,175,39,17,64,0,101
48,021,950200,28,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,19,12,0,0,0,0,0,0,176,75,100,137,225,20,0,19,24,0
48,021,950300,122,0,0,124,141,19,46,0,0,0,87,0,0,0,0,0,0,0,0,0,0,8,0,9,13,32,0,23,0,0,613,223,453,287,147,86,8,35,9,117
48,021,950400,0,0,8,0,10,0,0,0,0,0,23,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,89,188,250,168,44,27,13,0,0
48,021,950501,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,51,58,76,177,30,0,0,0,0
48,021,950502,0,12,91,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,53,216,90,137,32,0,29,0,0
48,021,950600,0,0,0,0,0,25,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,28,29,188,77,25,7,0,0,39
48,021,950700,10,0,8,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,26,114,99,54,0,9,0,0,9
48,021,950801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,12,0,16,0,0,82,0,10,34,30,76,0,16,0,0
48,021,950802,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,82,10,86,13,48,0,0,0,0
48,023,950300,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,10,90,163,98,13,0,13,0,0
48,025,950100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,6,48,18,6,2,2,8,0
48,025,950201,15,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,34,0,30,55,0,0,6,4
48,025,950202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,60,21,75,137,58,0,6,0,42,0
48,025,950300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,192,9,91,111,125,18,0,20,53,20
48,025,950400,3,0,0,29,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,40,37,11,3,0,15,3
48,025,950500,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,48,0,27,40,0,32,25,9,27
48,025,950600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,50,13,5,60,11,6,0,0,23,4
48,027,020100,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,4,180,66,101,156,148,0,0,4,15,40
48,027,020201,66,0,0,48,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,603,284,186,319,177,0,30,24,15,0
48,027,020202,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,214,90,113,98,43,0,0,0,0,0
48,027,020300,15,18,45,0,47,0,0,0,0,0,25,28,0,0,14,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,384,204,441,216,267,35,0,0,26,96
48,027,020401,38,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,40,27,3,82,76,14,0,20,0,0
48,027,020402,0,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,12,42,27,0,0,26,3,0
48,027,020500,23,37,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,44,137,72,0,0,0,5,5
48,027,020600,16,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,131,56,44,48,148,19,11,0,0,0
48,027,020701,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,10,5,0,0,0,0,0
48,027,020702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,0,0
48,027,020800,19,0,0,39,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,17,0,10,0,0,11,11,0
48,027,020900,5,0,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,27,26,0,0,0,0,5
48,027,021000,0,6,8,13,0,0,0,0,0,0,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,90,0,0,69,67,74,0,0,12,1
48,027,021100,28,0,0,0,0,0,0,0,0,0,3,19,0,0,19,0,0,0,0,0,23,0,0,0,0,21,0,0,0,43,246,58,81,149,161,138,0,0,0,0
48,027,021201,0,0,43,0,0,0,0,0,0,0,42,17,0,0,12,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,138,33,44,118,89,17,0,0,0,0
48,027,021202,4,0,5,0,45,0,0,0,0,0,6,8,0,18,0,0,0,0,0,0,0,0,0,6,0,8,0,0,14,0,109,35,123,59,156,4,0,0,15,5
48,027,021203,0,0,16,7,35,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,130,111,159,157,218,106,0,20,80,0
48,027,021301,0,0,34,47,22,0,0,15,0,0,42,9,0,0,9,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,434,103,280,186,121,0,0,19,20,23
48,027,021302,0,0,0,0,0,0,0,0,0,0,33,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,206,149,194,210,117,9,0,0,0,0
48,027,021303,15,47,24,33,12,0,0,0,0,0,294,0,109,0,19,0,0,0,0,0,20,0,13,0,0,0,0,0,0,0,381,140,85,157,133,57,27,32,0,15
48,027,021400,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,63,136,87,69,0,0,3,0,8
48,027,021500,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,34,121,29,173,16,0,27,22,0
48,027,021601,0,1,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,18,99,33,57,108,0,0,0,0,27
48,027,021602,0,0,28,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,18,19,28,0,0,0,5,0
48,027,021700,14,29,0,0,0,0,0,0,0,0,65,0,17,0,10,0,0,0,0,0,18,0,0,0,0,0,0,20,0,12,667,104,431,434,338,65,11,20,0,49
48,027,021800,23,0,0,14,59,0,0,0,0,0,25,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,188,56,125,228,169,13,14,0,13,0
48,027,021901,18,13,0,0,8,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,47,34,47,92,56,0,16,0,12,0
48,027,021903,188,105,45,55,156,5,0,0,0,0,29,22,8,0,12,29,0,0,0,0,0,15,0,0,0,17,29,6,30,21,456,70,149,249,457,212,33,0,61,34
48,027,021904,57,102,25,0,68,0,0,0,0,10,0,18,0,19,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,489,43,204,271,177,0,15,19,0,23
48,027,022000,107,10,0,45,0,0,0,0,0,0,19,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,0,82,41,163,98,118,0,0,32,22,10
48,027,022101,0,0,0,21,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,15,67,42,0,0,0,25,16,34,11,46,36,35,0,0,21
48,027,022103,0,22,10,0,38,0,0,0,0,0,0,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,14,40,27,6,14,0,0,20
48,027,022104,7,0,28,8,23,0,0,0,0,0,6,0,0,14,0,33,0,0,0,0,9,0,15,0,0,0,0,0,0,6,16,0,23,7,9,13,3,19,0,0
48,027,022105,14,0,4,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,15,13,4,26,0,19,4,4
48,027,022200,24,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,6,0,50,0,0,16,5,5,10,3,11,14,6,0,0
48,027,022300,14,11,35,0,19,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,12,0,0,0,0,70,0,37,37,50,52,0,58,20,6
48,027,022401,55,19,7,6,60,0,0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,60,24,0,25,0,18,19,0,12,0,10
48,027,022402,123,31,92,31,35,0,0,0,0,0,40,7,8,0,6,41,0,0,0,0,0,0,7,0,0,8,8,0,55,0,104,56,176,105,222,58,28,23,9,8
48,027,022403,46,7,23,18,30,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,22,0,0,18,0,0,21,0,105,53,58,29,19,0,0,57
48,027,022404,128,49,114,21,241,0,0,0,17,0,107,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,0,0,0,0,193,0,76,17,166,149,32,16,17,0
48,027,022405,2,10,13,0,14,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,18,6,5,0,18,0,41,12,7,38
48,027,022501,0,0,18,0,14,0,0,0,0,0,0,4,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,22,14,27,41,17,0,59,21,13,0
48,027,022502,230,12,13,72,142,9,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,21,0,44,40,0,0,0,0,212,41,75,124,194,9,0,36,0,75
48,027,022600,0,0,16,13,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22,10,97,14,5,24,0,34,6,0
48,027,022801,16,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,13,0,0,0,15,0,0,0,0
48,027,022900,7,0,7,15,6,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,27,0,0,0,6,0,12,0,0,23,7,0,9,38,18,27,0,0,12
48,027,023000,18,16,23,0,70,0,0,0,0,0,38,0,14,0,0,0,0,0,0,0,21,0,33,0,0,0,0,0,0,22,118,96,113,74,60,63,0,45,71,99
48,027,023103,16,10,8,0,78,0,0,0,0,0,7,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,0,10,62,36,7,0,7,0,38
48,027,023104,37,0,19,0,11,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,51,0,20,50,73,0,19,0,14,32
48,027,023105,159,42,32,75,47,0,0,0,16,0,27,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,14,338,17,114,44,40,0,0,16,16,24
48,027,023106,67,33,106,16,123,0,0,15,0,13,0,44,40,0,0,0,0,0,0,0,0,0,0,0,17,0,0,7,0,0,235,19,189,100,162,321,0,0,0,107
48,027,023107,29,34,34,41,114,0,0,0,0,42,0,0,0,0,23,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,20,6,0,31,0,94
48,027,023108,216,14,57,35,8,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,146,21,0,0,8,20,0,0,0,0,57,0,62,0,112,341,21,23,65,141
48,027,023201,17,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,19,77,9,135,16,0,0,10,32
48,027,023202,94,0,24,0,26,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,29,0,41,10,0,0,0,10
48,027,023203,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,0,10,0,30,15,0,17,0,0
48,027,023204,0,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,4,119,36,0,0,31,0
48,027,023300,16,20,13,91,57,0,0,0,0,0,45,0,39,0,38,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,253,49,120,264,145,0,0,14,0,0
48,027,023402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,64,33,46,70,58,6,0,6,0,0
48,027,023403,6,0,0,0,10,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,551,132,296,287,268,10,0,4,0,15
48,027,023404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,43,97,101,150,0,0,23,0,0
48,027,023500,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,4,4,0,0,8,0
48,027,980001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,027,980002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,027,980003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,029,110100,0,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,18,42,50,0,18,0,0,6,0,12,142,52,119,44,157,98,42,50,0,29
48,029,110300,29,27,0,0,89,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,49,17,0,0,45,41,51,16,8,57
48,029,110500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,5
48,029,110600,9,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,7,0,0,27
