state,county,tract,travel.time.to.work_less than 10 minutes,travel.time.to.work_10 to 14 minutes,travel.time.to.work_15 to 19 minutes,travel.time.to.work_20 to 24 minutes,travel.time.to.work_25 to 29 minutes,travel.time.to.work_30 to 34 minutes,travel.time.to.work_35 to 44 minutes,travel.time.to.work_45 to 59 minutes,travel.time.to.work_60 minutes or more
48,027,022000,3320,5100,6450,15380,7000,14520,8060,5130,12340
48,027,022101,1265,2120,6625,5590,1375,5430,2315,4460,7670
48,027,022103,1155,5390,8615,5350,6100,7110,1220,5030,12895
48,027,022104,,,,,,,,,
48,027,022105,435,1565,2985,2500,1605,1560,1100,3690,6820
48,027,022200,1460,2110,5895,4420,3150,2160,,4320,9620
48,027,022300,,,,,,,,,
48,027,022401,,,,,,,,,
48,027,022402,760,2120,10500,16810,5600,13770,1645,4770,3510
48,027,022403,,,,,,,,,
48,027,022404,3005,4780,11295,16860,2325,20010,3495,10930,14800
48,027,022405,,,,,,,,,
48,027,022501,,,,,,,,,
48,027,022502,2665,10940,14465,16480,5510,7830,5570,4725,36490
48,027,022600,,,,,,,,,
48,027,022801,,,,,,,,,
48,027,022900,,,,,,,,,
48,027,023000,2475,9990,12160,11460,1450,8655,4255,7990,7360
48,027,023103,1080,3750,7665,4960,1250,6310,4305,4995,11760
48,027,023104,,,,,,,,,
48,027,023105,1245,7575,26070,17360,3925,11340,11245,13815,20840
48,027,023106,1395,10675,32355,10900,6525,5250,4200,11165,10805
48,027,023107,,,,,,,,,
48,027,023108,4995,9920,25875,21980,6970,10140,12360,8760,20520
48,027,023201,,,,,,,,,
48,027,023202,,,,,,,,,
48,027,023203,,,,,,,,,
48,027,023204,,,,,,,,,
48,027,023300,460,2630,9810,8640,14345,24420,5210,13615,26320
48,027,023402,1080,2750,4040,7075,4400,7410,2495,4120,10705
48,027,023403,1200,4695,3325,9170,6150,10020,9500,4490,8960
48,027,023404,460,320,2280,4180,1850,5130,2875,8535,11030
48,027,023500,,,,,,,,,
48,027,980001,,,,,,,,,
48,027,980002,,,,,,,,,
48,027,980003,,,,,,,,,
48,029,110100,,,,,,,,,
48,029,110300,,,,,,,,,
48,029,110500,,,,,,,,,
48,029,110600,,,,,,,,,
48,029,110700,,,,,,,,,
48,029,110800,,,,,,,,,
48,029,110900,,,,,,,,,
48,029,111000,165,2040,2320,3640,1225,2010,2040,765,4665
48,029,120100,6155,4500,4965,2460,1450,3150,,1350,2250
48,029,120300,,,,,,,,,
48,029,120400,,,,,,,,,
48,029,120501,,,,,,,,,
48,029,120502,890,3170,7025,9820,2465,12120,2965,4410,1770
48,029,120600,3010,5315,7845,5560,5250,12510,4690,4140,3460
48,029,120701,,,,,,,,,
48,029,120702,1580,3545,9925,6660,1700,7470,,4635,8660
48,029,120800,,,,,,,,,
48,029,120901,,,,,,,,,
48,029,120902,2565,9565,9255,11820,3350,13050,5450,1935,11220
48,029,121000,,,,,,,,,
48,029,121108,3200,5605,11145,16205,11400,12210,3880,1890,4500
48,029,121110,750,3660,6600,14540,6425,7835,10145,6830,6850
48,029,121111,2270,6190,11680,9145,7050,15960,5095,15460,16600
48,029,121112,405,1905,7810,4280,2950,17100,4275,3845,9640
48,029,121115,1505,2690,8790,7740,10880,13020,6600,2495,12555
48,029,121116,,,,,,,,,
48,029,121117,2100,3035,5655,9180,10105,13860,1870,3915,5850
48,029,121118,1875,4040,10895,13300,5200,12120,10725,17555,5120
48,029,121119,755,4005,10455,18820,2550,15600,5045,2495,8745
48,029,121120,460,3960,14085,8240,3075,8580,4585,6655,12830
48,029,121121,420,2660,2790,5180,1275,9870,6815,9630,3300
48,029,121122,655,1825,11005,15540,4000,12600,4885,6665,6720
48,029,121203,1070,4575,5130,7320,1825,9840,2395,1035,9240
48,029,121204,1950,7560,13270,17875,3875,12660,7545,6875,8280
48,029,121205,,,,,,,,,
48,029,121206,,,,,,,,,
48,029,121300,,,,,,,,,
48,029,121402,940,2205,6705,7260,4125,16860,6930,6295,8375
48,029,121403,890,2325,7510,7280,2800,8940,6685,3620,7340
48,029,121404,1465,2670,7680,6020,1100,3540,2360,,6600
48,029,121501,1175,4275,13065,18270,5275,26550,4075,15635,12900
48,029,121504,,,,,,,,,
48,029,121505,895,3455,8455,7260,2000,10080,6005,10015,14920
48,029,121506,1020,2935,3960,8710,4425,9780,5485,6750,11280
48,029,121507,1295,885,4810,7160,4200,8970,6195,5355,10125
48,029,121508,810,3225,5175,5055,2900,11280,1975,5250,6310
48,029,121601,2255,1845,6960,3260,3350,12810,5565,10565,7830
48,029,121604,2010,7005,6405,16725,7650,18810,18375,8170,12515
48,029,121605,490,930,2090,1560,1125,6990,1805,4400,5290
48,029,121606,,,,,,,,,
48,029,121701,,,,,,,,,
48,029,121702,1430,5675,8220,15310,14260,12390,5070,7185,10895
48,029,121802,1365,5690,12315,17780,3925,20220,8880,9810,19650
48,029,121803,1595,2850,6110,9920,3725,10860,5460,6435,6840
48,029,121804,2390,4645,5865,10680,5825,18180,4720,12960,8430
48,029,121808,,,,,,,,,
48,029,121809,655,3680,7800,6040,5075,11645,4395,7285,11590
48,029,121810,885,4780,5490,11350,4750,9240,4185,3105,10970
48,029,121811,1320,1650,9130,11505,4345,13410,2800,3630,8300
48,029,121812,,,,,,,,,
48,029,121813,310,790,2250,3740,1375,4830,1000,1745,5240
48,029,121903,740,2020,4510,12640,2525,15000,6030,12165,15650
48,029,121904,440,860,4120,5350,5725,9090,4505,2250,10240
48,029,121905,535,3230,4095,8220,3500,14250,6055,9330,23085
48,029,121906,720,2110,7035,7060,8150,20150,12290,13875,4045
48,029,121907,505,2230,12360,18835,17800,30630,19450,17030,59125
48,029,121908,105,380,920,2420,2785,5040,6175,7385,14930
